source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[treatment]	characteristics[exposure duration]	characteristics[culture medium]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]	factor value[treatment]
CAM_192_N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=stomach;AC=UBERON:0000945	NT=myofibroblast cell;AC=CL:0000186	NT=gastric adenocarcinoma;AC=MONDO:0005036	cell	NT=adult;AC=EFO:0001272	not available	not available	not available	CAM_192	untreated	24 hour	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	1	CAM_192_N	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	CAM_192_N.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=gastric adenocarcinoma;AC=MONDO:0005036	untreated
CAM_192_H	NT=Homo sapiens;AC=NCBITaxon:9606	NT=stomach;AC=UBERON:0000945	NT=myofibroblast cell;AC=CL:0000186	NT=gastric adenocarcinoma;AC=MONDO:0005036	cell	NT=adult;AC=EFO:0001272	not available	not available	not available	CAM_192	NT=hypoxia;AC=EFO:0009444	24 hour	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	1	CAM_192_H	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	CAM_192_H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=gastric adenocarcinoma;AC=MONDO:0005036	NT=hypoxia;AC=EFO:0009444
CAM_305_N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=stomach;AC=UBERON:0000945	NT=myofibroblast cell;AC=CL:0000186	NT=gastric adenocarcinoma;AC=MONDO:0005036	cell	NT=adult;AC=EFO:0001272	not available	not available	not available	CAM_305	untreated	24 hour	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	2	CAM_305_N	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	CAM_305_N.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=gastric adenocarcinoma;AC=MONDO:0005036	untreated
CAM_305_H	NT=Homo sapiens;AC=NCBITaxon:9606	NT=stomach;AC=UBERON:0000945	NT=myofibroblast cell;AC=CL:0000186	NT=gastric adenocarcinoma;AC=MONDO:0005036	cell	NT=adult;AC=EFO:0001272	not available	not available	not available	CAM_305	NT=hypoxia;AC=EFO:0009444	24 hour	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	2	CAM_305_H	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	CAM_305_H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=gastric adenocarcinoma;AC=MONDO:0005036	NT=hypoxia;AC=EFO:0009444
CAM_308_N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=stomach;AC=UBERON:0000945	NT=myofibroblast cell;AC=CL:0000186	NT=gastric adenocarcinoma;AC=MONDO:0005036	cell	NT=adult;AC=EFO:0001272	not available	not available	not available	CAM_308	untreated	24 hour	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	3	CAM_308_N	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	CAM_308_N.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=gastric adenocarcinoma;AC=MONDO:0005036	untreated
CAM_308_H	NT=Homo sapiens;AC=NCBITaxon:9606	NT=stomach;AC=UBERON:0000945	NT=myofibroblast cell;AC=CL:0000186	NT=gastric adenocarcinoma;AC=MONDO:0005036	cell	NT=adult;AC=EFO:0001272	not available	not available	not available	CAM_308	NT=hypoxia;AC=EFO:0009444	24 hour	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	3	CAM_308_H	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	CAM_308_H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=gastric adenocarcinoma;AC=MONDO:0005036	NT=hypoxia;AC=EFO:0009444
NTM_261_N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=stomach;AC=UBERON:0000945	NT=myofibroblast cell;AC=CL:0000186	NT=normal;AC=PATO:0000461	cell	NT=adult;AC=EFO:0001272	not available	not available	not available	NTM_261	untreated	24 hour	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	1	NTM_261_N	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	NTM_261_N.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=normal;AC=PATO:0000461	untreated
NTM_261_H	NT=Homo sapiens;AC=NCBITaxon:9606	NT=stomach;AC=UBERON:0000945	NT=myofibroblast cell;AC=CL:0000186	NT=normal;AC=PATO:0000461	cell	NT=adult;AC=EFO:0001272	not available	not available	not available	NTM_261	NT=hypoxia;AC=EFO:0009444	24 hour	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	1	NTM_261_H	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	NTM_261_H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=normal;AC=PATO:0000461	NT=hypoxia;AC=EFO:0009444
NTM_279_N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=stomach;AC=UBERON:0000945	NT=myofibroblast cell;AC=CL:0000186	NT=normal;AC=PATO:0000461	cell	NT=adult;AC=EFO:0001272	not available	not available	not available	NTM_279	untreated	24 hour	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	2	NTM_279_N	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	NTM_279_N.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=normal;AC=PATO:0000461	untreated
NTM_279_H	NT=Homo sapiens;AC=NCBITaxon:9606	NT=stomach;AC=UBERON:0000945	NT=myofibroblast cell;AC=CL:0000186	NT=normal;AC=PATO:0000461	cell	NT=adult;AC=EFO:0001272	not available	not available	not available	NTM_279	NT=hypoxia;AC=EFO:0009444	24 hour	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	2	NTM_279_H	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	NTM_279_H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=normal;AC=PATO:0000461	NT=hypoxia;AC=EFO:0009444
