source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[cohort]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[period of gestation]	factor value[cohort]
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	RCB_SALI_TB_F1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	10	RCB_SALI_TB_F10.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	11	RCB_SALI_TB_F11.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	12	RCB_SALI_TB_F12.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	13	RCB_SALI_TB_F13.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	14	RCB_SALI_TB_F14.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	15	RCB_SALI_TB_F15.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	16	RCB_SALI_TB_F16.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	17	RCB_SALI_TB_F17.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	18	RCB_SALI_TB_F18.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	19	RCB_SALI_TB_F19.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	2	RCB_SALI_TB_F2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	20	RCB_SALI_TB_F20.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	21	RCB_SALI_TB_F21.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	22	RCB_SALI_TB_F22.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	23	RCB_SALI_TB_F23.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	24	RCB_SALI_TB_F24.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	25	RCB_SALI_TB_F25.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
