source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[condition]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[annotation provenance]	factor value[condition]
PXD023077_EX1_OM	Chlorocebus aethiops	cell culture	not applicable	1	OM	20191101_DD_0068_TiKoe_rep1_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	20191101_DD_0068_TiKoe_rep1_01.raw	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	File, Condition and Replicate are taken directly from 20191113_0068_humanTom20.setup.txt in the author SEARCH.zip. Author EX1/EX2/EX3 experimental indices are retained; OM, OM_HA, MDV and MDV_HA are literal author condition labels. All 12 native RAW headers identify Q Exactive HF-X, correcting the project instrument tag. Search modifications and dynamic mass tolerances follow the deposited Spectronaut setup; organism follows deposited sample taxonomy, not the search database. https://www.ebi.ac.uk/pride/archive/projects/PXD023077	OM
PXD023077_EX1_OM_HA	Chlorocebus aethiops	cell culture	not applicable	1	OM_HA	20191101_DD_0068_TiKoe_rep1_02	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	20191101_DD_0068_TiKoe_rep1_02.raw	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	File, Condition and Replicate are taken directly from 20191113_0068_humanTom20.setup.txt in the author SEARCH.zip. Author EX1/EX2/EX3 experimental indices are retained; OM, OM_HA, MDV and MDV_HA are literal author condition labels. All 12 native RAW headers identify Q Exactive HF-X, correcting the project instrument tag. Search modifications and dynamic mass tolerances follow the deposited Spectronaut setup; organism follows deposited sample taxonomy, not the search database. https://www.ebi.ac.uk/pride/archive/projects/PXD023077	OM_HA
PXD023077_EX1_MDV	Chlorocebus aethiops	cell culture	not applicable	1	MDV	20191101_DD_0068_TiKoe_rep1_03	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	20191101_DD_0068_TiKoe_rep1_03.raw	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	File, Condition and Replicate are taken directly from 20191113_0068_humanTom20.setup.txt in the author SEARCH.zip. Author EX1/EX2/EX3 experimental indices are retained; OM, OM_HA, MDV and MDV_HA are literal author condition labels. All 12 native RAW headers identify Q Exactive HF-X, correcting the project instrument tag. Search modifications and dynamic mass tolerances follow the deposited Spectronaut setup; organism follows deposited sample taxonomy, not the search database. https://www.ebi.ac.uk/pride/archive/projects/PXD023077	MDV
PXD023077_EX1_MDV_HA	Chlorocebus aethiops	cell culture	not applicable	1	MDV_HA	20191101_DD_0068_TiKoe_rep1_04	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	20191101_DD_0068_TiKoe_rep1_04.raw	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	File, Condition and Replicate are taken directly from 20191113_0068_humanTom20.setup.txt in the author SEARCH.zip. Author EX1/EX2/EX3 experimental indices are retained; OM, OM_HA, MDV and MDV_HA are literal author condition labels. All 12 native RAW headers identify Q Exactive HF-X, correcting the project instrument tag. Search modifications and dynamic mass tolerances follow the deposited Spectronaut setup; organism follows deposited sample taxonomy, not the search database. https://www.ebi.ac.uk/pride/archive/projects/PXD023077	MDV_HA
PXD023077_EX2_OM	Chlorocebus aethiops	cell culture	not applicable	2	OM	20191101_DD_0068_TiKoe_rep1_05	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	20191101_DD_0068_TiKoe_rep1_05.raw	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	File, Condition and Replicate are taken directly from 20191113_0068_humanTom20.setup.txt in the author SEARCH.zip. Author EX1/EX2/EX3 experimental indices are retained; OM, OM_HA, MDV and MDV_HA are literal author condition labels. All 12 native RAW headers identify Q Exactive HF-X, correcting the project instrument tag. Search modifications and dynamic mass tolerances follow the deposited Spectronaut setup; organism follows deposited sample taxonomy, not the search database. https://www.ebi.ac.uk/pride/archive/projects/PXD023077	OM
PXD023077_EX2_OM_HA	Chlorocebus aethiops	cell culture	not applicable	2	OM_HA	20191101_DD_0068_TiKoe_rep1_06	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	20191101_DD_0068_TiKoe_rep1_06.raw	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	File, Condition and Replicate are taken directly from 20191113_0068_humanTom20.setup.txt in the author SEARCH.zip. Author EX1/EX2/EX3 experimental indices are retained; OM, OM_HA, MDV and MDV_HA are literal author condition labels. All 12 native RAW headers identify Q Exactive HF-X, correcting the project instrument tag. Search modifications and dynamic mass tolerances follow the deposited Spectronaut setup; organism follows deposited sample taxonomy, not the search database. https://www.ebi.ac.uk/pride/archive/projects/PXD023077	OM_HA
PXD023077_EX2_MDV	Chlorocebus aethiops	cell culture	not applicable	2	MDV	20191101_DD_0068_TiKoe_rep1_07	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	20191101_DD_0068_TiKoe_rep1_07.raw	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	File, Condition and Replicate are taken directly from 20191113_0068_humanTom20.setup.txt in the author SEARCH.zip. Author EX1/EX2/EX3 experimental indices are retained; OM, OM_HA, MDV and MDV_HA are literal author condition labels. All 12 native RAW headers identify Q Exactive HF-X, correcting the project instrument tag. Search modifications and dynamic mass tolerances follow the deposited Spectronaut setup; organism follows deposited sample taxonomy, not the search database. https://www.ebi.ac.uk/pride/archive/projects/PXD023077	MDV
PXD023077_EX2_MDV_HA	Chlorocebus aethiops	cell culture	not applicable	2	MDV_HA	20191101_DD_0068_TiKoe_rep1_08	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	20191101_DD_0068_TiKoe_rep1_08.raw	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	File, Condition and Replicate are taken directly from 20191113_0068_humanTom20.setup.txt in the author SEARCH.zip. Author EX1/EX2/EX3 experimental indices are retained; OM, OM_HA, MDV and MDV_HA are literal author condition labels. All 12 native RAW headers identify Q Exactive HF-X, correcting the project instrument tag. Search modifications and dynamic mass tolerances follow the deposited Spectronaut setup; organism follows deposited sample taxonomy, not the search database. https://www.ebi.ac.uk/pride/archive/projects/PXD023077	MDV_HA
PXD023077_EX3_OM	Chlorocebus aethiops	cell culture	not applicable	3	OM	20191101_DD_0068_TiKoe_rep1_09	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	20191101_DD_0068_TiKoe_rep1_09.raw	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	File, Condition and Replicate are taken directly from 20191113_0068_humanTom20.setup.txt in the author SEARCH.zip. Author EX1/EX2/EX3 experimental indices are retained; OM, OM_HA, MDV and MDV_HA are literal author condition labels. All 12 native RAW headers identify Q Exactive HF-X, correcting the project instrument tag. Search modifications and dynamic mass tolerances follow the deposited Spectronaut setup; organism follows deposited sample taxonomy, not the search database. https://www.ebi.ac.uk/pride/archive/projects/PXD023077	OM
PXD023077_EX3_OM_HA	Chlorocebus aethiops	cell culture	not applicable	3	OM_HA	20191101_DD_0068_TiKoe_rep1_10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	20191101_DD_0068_TiKoe_rep1_10.raw	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	File, Condition and Replicate are taken directly from 20191113_0068_humanTom20.setup.txt in the author SEARCH.zip. Author EX1/EX2/EX3 experimental indices are retained; OM, OM_HA, MDV and MDV_HA are literal author condition labels. All 12 native RAW headers identify Q Exactive HF-X, correcting the project instrument tag. Search modifications and dynamic mass tolerances follow the deposited Spectronaut setup; organism follows deposited sample taxonomy, not the search database. https://www.ebi.ac.uk/pride/archive/projects/PXD023077	OM_HA
