source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sample type]	characteristics[control material]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[acquisition date]	comment[cohort]	comment[MS batch]	comment[sample preparation batch]	comment[plate]	comment[plate row]	comment[plate column]	comment[injection order]	comment[annotation provenance]	factor value[control material]
20200520_TOF1_AF_012_ZeBanC_P1_A10	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_012_ZeBanC_P1_A10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_012_ZeBanC_P1_A10.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	1	1	A	10	12	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
20200520_TOF1_AF_015_ZeBanC_P1_A12	Homo sapiens	blood serum	not applicable	1	quality control sample	SP.QC.Serum	20200520_TOF1_AF_015_ZeBanC_P1_A12	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_015_ZeBanC_P1_A12.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	1	1	A	12	15	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Serum
20200520_TOF1_AF_021_ZeBanC_P1_B5	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_021_ZeBanC_P1_B5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_021_ZeBanC_P1_B5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	1	1	B	5	21	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
20200520_TOF1_AF_046_ZeBanC_P1_D1	Homo sapiens	blood serum	not applicable	1	quality control sample	SP.QC.Serum	20200520_TOF1_AF_046_ZeBanC_P1_D1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_046_ZeBanC_P1_D1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	1	1	D	1	46	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Serum
20200520_TOF1_AF_049_ZeBanC_P1_D4	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_049_ZeBanC_P1_D4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_049_ZeBanC_P1_D4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	1	1	D	4	49	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
20200520_TOF1_AF_053_ZeBanC_P1_D7	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_053_ZeBanC_P1_D7	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_053_ZeBanC_P1_D7.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	1	1	D	7	53	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
20200520_TOF1_AF_054_ZeBanC_P1_D8	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_054_ZeBanC_P1_D8	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_054_ZeBanC_P1_D8.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	1	1	D	8	54	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
20200520_TOF1_AF_073_ZeBanC_P1_E11	Homo sapiens	blood serum	not applicable	1	quality control sample	SP.QC.Serum	20200520_TOF1_AF_073_ZeBanC_P1_E11	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_073_ZeBanC_P1_E11.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	1	1	E	11	73	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Serum
20200520_TOF1_AF_085_ZeBanC_P1_F9	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_085_ZeBanC_P1_F9	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_085_ZeBanC_P1_F9.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	1	1	F	9	85	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
20200520_TOF1_AF_086_ZeBanC_P1_F10	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_086_ZeBanC_P1_F10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_086_ZeBanC_P1_F10.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	1	1	F	10	86	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
