source name	characteristics[organism]	characteristics[organism part]	characteristics[material type]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[biological replicate]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[treatment]	characteristics[genetic modification]	characteristics[phenotype]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[search enzyme]	comment[missed cleavages]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[fractionation method]	comment[technical replicate]	comment[dissociation method]	comment[collision energy]	comment[data file]	comment[file uri]	comment[original sample identifier]	comment[sample description]	comment[enrichment method]	comment[cell line provenance]	comment[search parameter source]	comment[search parameter details]	comment[additional search parameters]	comment[instrument evidence]	comment[annotation provenance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[cell line]
PXD025890_Proteome_U2OSplus_Bio1	Homo sapiens	osteosarcoma cell line	cell line	malignant cell	osteosarcoma	U2OS	CVCL_0042	U2OS	15Y	female	not available	not available	1	not applicable	not applicable	not applicable	TGF-beta	not applicable	parental U2OS	PXD025890_C9279FD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not applicable	NT=Trypsin;AC=MS:1001251	2	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	not applicable	not applicable	not applicable	10 ppm	0.6 Da	HPH 10	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	C9279FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025890/C9279FD.raw	Proteome / U2OS(+) / Bio rep 1 / - / HPH 10	Author ExpDesign maps this row to the named sample, biological replicate and analytical fraction. All samples are marked (+) in the author table and represent 1 hour TGF-beta exposure. PRIDE sample protocol records 2 ng/µl TGF-beta, whereas the primary paper reports 2 ng/ml; concentration is intentionally not normalized here.  Proteome samples have no MG132 treatment in the paper protocol.	not applicable	U2OS parental line (Cellosaurus CVCL_0042); clones #1/#2 are CRISPR-engineered RNF111-RING-KO derivatives and are not assigned separate Cellosaurus accessions.	Primary paper DOI:10.1016/j.mcpro.2021.100173; PRIDE project PXD025890; author ExpDesign.xlsx	Proteome Discoverer search; SEQUEST-HT; full trypsin specificity; 2 maximum missed cleavages; 10 ppm precursor and 0.6 Da fragment tolerance; variable carbamidomethyl(C), oxidation(M), protein N-terminal acetylation and no ubiquitin-remnant modification.	Top N 6 peaks per 100 Da; Percolator FDR 1%; myProMS 3.9; MassChroQ 2.2.21 label-free XIC quantification.	All 78 deposited RAW prefixes were independently checked with bounded 256 KiB requests. This C9279FD.raw header identifies the instrument named in the row; all 54 Proteome rows are Orbitrap Fusion, all 12 diGly rows Q Exactive HF-X, and all 12 Pan-UB rows Orbitrap Exploris 480. Paper methods report HCD, 30 NCE for Proteome, 27 NCE for diGly and 30% NCE for Pan-UB.	PRIDE project metadata, author ExpDesign.xlsx and primary paper; no sample identities are inferred from filenames.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TGF-beta	parental U2OS
PXD025890_Proteome_U2OSplus_Bio1	Homo sapiens	osteosarcoma cell line	cell line	malignant cell	osteosarcoma	U2OS	CVCL_0042	U2OS	15Y	female	not available	not available	1	not applicable	not applicable	not applicable	TGF-beta	not applicable	parental U2OS	PXD025890_C9280FD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not applicable	NT=Trypsin;AC=MS:1001251	2	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	not applicable	not applicable	not applicable	10 ppm	0.6 Da	HPH 12.5	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	C9280FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025890/C9280FD.raw	Proteome / U2OS(+) / Bio rep 1 / - / HPH 12.5	Author ExpDesign maps this row to the named sample, biological replicate and analytical fraction. All samples are marked (+) in the author table and represent 1 hour TGF-beta exposure. PRIDE sample protocol records 2 ng/µl TGF-beta, whereas the primary paper reports 2 ng/ml; concentration is intentionally not normalized here.  Proteome samples have no MG132 treatment in the paper protocol.	not applicable	U2OS parental line (Cellosaurus CVCL_0042); clones #1/#2 are CRISPR-engineered RNF111-RING-KO derivatives and are not assigned separate Cellosaurus accessions.	Primary paper DOI:10.1016/j.mcpro.2021.100173; PRIDE project PXD025890; author ExpDesign.xlsx	Proteome Discoverer search; SEQUEST-HT; full trypsin specificity; 2 maximum missed cleavages; 10 ppm precursor and 0.6 Da fragment tolerance; variable carbamidomethyl(C), oxidation(M), protein N-terminal acetylation and no ubiquitin-remnant modification.	Top N 6 peaks per 100 Da; Percolator FDR 1%; myProMS 3.9; MassChroQ 2.2.21 label-free XIC quantification.	All 78 deposited RAW prefixes were independently checked with bounded 256 KiB requests. This C9280FD.raw header identifies the instrument named in the row; all 54 Proteome rows are Orbitrap Fusion, all 12 diGly rows Q Exactive HF-X, and all 12 Pan-UB rows Orbitrap Exploris 480. Paper methods report HCD, 30 NCE for Proteome, 27 NCE for diGly and 30% NCE for Pan-UB.	PRIDE project metadata, author ExpDesign.xlsx and primary paper; no sample identities are inferred from filenames.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TGF-beta	parental U2OS
PXD025890_Proteome_U2OSplus_Bio1	Homo sapiens	osteosarcoma cell line	cell line	malignant cell	osteosarcoma	U2OS	CVCL_0042	U2OS	15Y	female	not available	not available	1	not applicable	not applicable	not applicable	TGF-beta	not applicable	parental U2OS	PXD025890_C9281FD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not applicable	NT=Trypsin;AC=MS:1001251	2	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	not applicable	not applicable	not applicable	10 ppm	0.6 Da	HPH 15	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	C9281FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025890/C9281FD.raw	Proteome / U2OS(+) / Bio rep 1 / - / HPH 15	Author ExpDesign maps this row to the named sample, biological replicate and analytical fraction. All samples are marked (+) in the author table and represent 1 hour TGF-beta exposure. PRIDE sample protocol records 2 ng/µl TGF-beta, whereas the primary paper reports 2 ng/ml; concentration is intentionally not normalized here.  Proteome samples have no MG132 treatment in the paper protocol.	not applicable	U2OS parental line (Cellosaurus CVCL_0042); clones #1/#2 are CRISPR-engineered RNF111-RING-KO derivatives and are not assigned separate Cellosaurus accessions.	Primary paper DOI:10.1016/j.mcpro.2021.100173; PRIDE project PXD025890; author ExpDesign.xlsx	Proteome Discoverer search; SEQUEST-HT; full trypsin specificity; 2 maximum missed cleavages; 10 ppm precursor and 0.6 Da fragment tolerance; variable carbamidomethyl(C), oxidation(M), protein N-terminal acetylation and no ubiquitin-remnant modification.	Top N 6 peaks per 100 Da; Percolator FDR 1%; myProMS 3.9; MassChroQ 2.2.21 label-free XIC quantification.	All 78 deposited RAW prefixes were independently checked with bounded 256 KiB requests. This C9281FD.raw header identifies the instrument named in the row; all 54 Proteome rows are Orbitrap Fusion, all 12 diGly rows Q Exactive HF-X, and all 12 Pan-UB rows Orbitrap Exploris 480. Paper methods report HCD, 30 NCE for Proteome, 27 NCE for diGly and 30% NCE for Pan-UB.	PRIDE project metadata, author ExpDesign.xlsx and primary paper; no sample identities are inferred from filenames.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TGF-beta	parental U2OS
PXD025890_Proteome_U2OSplus_Bio1	Homo sapiens	osteosarcoma cell line	cell line	malignant cell	osteosarcoma	U2OS	CVCL_0042	U2OS	15Y	female	not available	not available	1	not applicable	not applicable	not applicable	TGF-beta	not applicable	parental U2OS	PXD025890_C9282FD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not applicable	NT=Trypsin;AC=MS:1001251	2	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	not applicable	not applicable	not applicable	10 ppm	0.6 Da	HPH 17.5	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	C9282FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025890/C9282FD.raw	Proteome / U2OS(+) / Bio rep 1 / - / HPH 17.5	Author ExpDesign maps this row to the named sample, biological replicate and analytical fraction. All samples are marked (+) in the author table and represent 1 hour TGF-beta exposure. PRIDE sample protocol records 2 ng/µl TGF-beta, whereas the primary paper reports 2 ng/ml; concentration is intentionally not normalized here.  Proteome samples have no MG132 treatment in the paper protocol.	not applicable	U2OS parental line (Cellosaurus CVCL_0042); clones #1/#2 are CRISPR-engineered RNF111-RING-KO derivatives and are not assigned separate Cellosaurus accessions.	Primary paper DOI:10.1016/j.mcpro.2021.100173; PRIDE project PXD025890; author ExpDesign.xlsx	Proteome Discoverer search; SEQUEST-HT; full trypsin specificity; 2 maximum missed cleavages; 10 ppm precursor and 0.6 Da fragment tolerance; variable carbamidomethyl(C), oxidation(M), protein N-terminal acetylation and no ubiquitin-remnant modification.	Top N 6 peaks per 100 Da; Percolator FDR 1%; myProMS 3.9; MassChroQ 2.2.21 label-free XIC quantification.	All 78 deposited RAW prefixes were independently checked with bounded 256 KiB requests. This C9282FD.raw header identifies the instrument named in the row; all 54 Proteome rows are Orbitrap Fusion, all 12 diGly rows Q Exactive HF-X, and all 12 Pan-UB rows Orbitrap Exploris 480. Paper methods report HCD, 30 NCE for Proteome, 27 NCE for diGly and 30% NCE for Pan-UB.	PRIDE project metadata, author ExpDesign.xlsx and primary paper; no sample identities are inferred from filenames.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TGF-beta	parental U2OS
PXD025890_Proteome_U2OSplus_Bio1	Homo sapiens	osteosarcoma cell line	cell line	malignant cell	osteosarcoma	U2OS	CVCL_0042	U2OS	15Y	female	not available	not available	1	not applicable	not applicable	not applicable	TGF-beta	not applicable	parental U2OS	PXD025890_C9283FD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not applicable	NT=Trypsin;AC=MS:1001251	2	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	not applicable	not applicable	not applicable	10 ppm	0.6 Da	HPH 20	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	C9283FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025890/C9283FD.raw	Proteome / U2OS(+) / Bio rep 1 / - / HPH 20	Author ExpDesign maps this row to the named sample, biological replicate and analytical fraction. All samples are marked (+) in the author table and represent 1 hour TGF-beta exposure. PRIDE sample protocol records 2 ng/µl TGF-beta, whereas the primary paper reports 2 ng/ml; concentration is intentionally not normalized here.  Proteome samples have no MG132 treatment in the paper protocol.	not applicable	U2OS parental line (Cellosaurus CVCL_0042); clones #1/#2 are CRISPR-engineered RNF111-RING-KO derivatives and are not assigned separate Cellosaurus accessions.	Primary paper DOI:10.1016/j.mcpro.2021.100173; PRIDE project PXD025890; author ExpDesign.xlsx	Proteome Discoverer search; SEQUEST-HT; full trypsin specificity; 2 maximum missed cleavages; 10 ppm precursor and 0.6 Da fragment tolerance; variable carbamidomethyl(C), oxidation(M), protein N-terminal acetylation and no ubiquitin-remnant modification.	Top N 6 peaks per 100 Da; Percolator FDR 1%; myProMS 3.9; MassChroQ 2.2.21 label-free XIC quantification.	All 78 deposited RAW prefixes were independently checked with bounded 256 KiB requests. This C9283FD.raw header identifies the instrument named in the row; all 54 Proteome rows are Orbitrap Fusion, all 12 diGly rows Q Exactive HF-X, and all 12 Pan-UB rows Orbitrap Exploris 480. Paper methods report HCD, 30 NCE for Proteome, 27 NCE for diGly and 30% NCE for Pan-UB.	PRIDE project metadata, author ExpDesign.xlsx and primary paper; no sample identities are inferred from filenames.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TGF-beta	parental U2OS
PXD025890_Proteome_U2OSplus_Bio1	Homo sapiens	osteosarcoma cell line	cell line	malignant cell	osteosarcoma	U2OS	CVCL_0042	U2OS	15Y	female	not available	not available	1	not applicable	not applicable	not applicable	TGF-beta	not applicable	parental U2OS	PXD025890_C9284FD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not applicable	NT=Trypsin;AC=MS:1001251	2	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	not applicable	not applicable	not applicable	10 ppm	0.6 Da	HPH 50	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	C9284FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025890/C9284FD.raw	Proteome / U2OS(+) / Bio rep 1 / - / HPH 50	Author ExpDesign maps this row to the named sample, biological replicate and analytical fraction. All samples are marked (+) in the author table and represent 1 hour TGF-beta exposure. PRIDE sample protocol records 2 ng/µl TGF-beta, whereas the primary paper reports 2 ng/ml; concentration is intentionally not normalized here.  Proteome samples have no MG132 treatment in the paper protocol.	not applicable	U2OS parental line (Cellosaurus CVCL_0042); clones #1/#2 are CRISPR-engineered RNF111-RING-KO derivatives and are not assigned separate Cellosaurus accessions.	Primary paper DOI:10.1016/j.mcpro.2021.100173; PRIDE project PXD025890; author ExpDesign.xlsx	Proteome Discoverer search; SEQUEST-HT; full trypsin specificity; 2 maximum missed cleavages; 10 ppm precursor and 0.6 Da fragment tolerance; variable carbamidomethyl(C), oxidation(M), protein N-terminal acetylation and no ubiquitin-remnant modification.	Top N 6 peaks per 100 Da; Percolator FDR 1%; myProMS 3.9; MassChroQ 2.2.21 label-free XIC quantification.	All 78 deposited RAW prefixes were independently checked with bounded 256 KiB requests. This C9284FD.raw header identifies the instrument named in the row; all 54 Proteome rows are Orbitrap Fusion, all 12 diGly rows Q Exactive HF-X, and all 12 Pan-UB rows Orbitrap Exploris 480. Paper methods report HCD, 30 NCE for Proteome, 27 NCE for diGly and 30% NCE for Pan-UB.	PRIDE project metadata, author ExpDesign.xlsx and primary paper; no sample identities are inferred from filenames.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TGF-beta	parental U2OS
PXD025890_Proteome_U2OSplus_Bio2	Homo sapiens	osteosarcoma cell line	cell line	malignant cell	osteosarcoma	U2OS	CVCL_0042	U2OS	15Y	female	not available	not available	2	not applicable	not applicable	not applicable	TGF-beta	not applicable	parental U2OS	PXD025890_C9303FD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not applicable	NT=Trypsin;AC=MS:1001251	2	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	not applicable	not applicable	not applicable	10 ppm	0.6 Da	HPH 10	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	C9303FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025890/C9303FD.raw	Proteome / U2OS(+) / Bio rep 2 / - / HPH 10	Author ExpDesign maps this row to the named sample, biological replicate and analytical fraction. All samples are marked (+) in the author table and represent 1 hour TGF-beta exposure. PRIDE sample protocol records 2 ng/µl TGF-beta, whereas the primary paper reports 2 ng/ml; concentration is intentionally not normalized here.  Proteome samples have no MG132 treatment in the paper protocol.	not applicable	U2OS parental line (Cellosaurus CVCL_0042); clones #1/#2 are CRISPR-engineered RNF111-RING-KO derivatives and are not assigned separate Cellosaurus accessions.	Primary paper DOI:10.1016/j.mcpro.2021.100173; PRIDE project PXD025890; author ExpDesign.xlsx	Proteome Discoverer search; SEQUEST-HT; full trypsin specificity; 2 maximum missed cleavages; 10 ppm precursor and 0.6 Da fragment tolerance; variable carbamidomethyl(C), oxidation(M), protein N-terminal acetylation and no ubiquitin-remnant modification.	Top N 6 peaks per 100 Da; Percolator FDR 1%; myProMS 3.9; MassChroQ 2.2.21 label-free XIC quantification.	All 78 deposited RAW prefixes were independently checked with bounded 256 KiB requests. This C9303FD.raw header identifies the instrument named in the row; all 54 Proteome rows are Orbitrap Fusion, all 12 diGly rows Q Exactive HF-X, and all 12 Pan-UB rows Orbitrap Exploris 480. Paper methods report HCD, 30 NCE for Proteome, 27 NCE for diGly and 30% NCE for Pan-UB.	PRIDE project metadata, author ExpDesign.xlsx and primary paper; no sample identities are inferred from filenames.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TGF-beta	parental U2OS
PXD025890_Proteome_U2OSplus_Bio2	Homo sapiens	osteosarcoma cell line	cell line	malignant cell	osteosarcoma	U2OS	CVCL_0042	U2OS	15Y	female	not available	not available	2	not applicable	not applicable	not applicable	TGF-beta	not applicable	parental U2OS	PXD025890_C9304FD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not applicable	NT=Trypsin;AC=MS:1001251	2	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	not applicable	not applicable	not applicable	10 ppm	0.6 Da	HPH 12.5	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	C9304FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025890/C9304FD.raw	Proteome / U2OS(+) / Bio rep 2 / - / HPH 12.5	Author ExpDesign maps this row to the named sample, biological replicate and analytical fraction. All samples are marked (+) in the author table and represent 1 hour TGF-beta exposure. PRIDE sample protocol records 2 ng/µl TGF-beta, whereas the primary paper reports 2 ng/ml; concentration is intentionally not normalized here.  Proteome samples have no MG132 treatment in the paper protocol.	not applicable	U2OS parental line (Cellosaurus CVCL_0042); clones #1/#2 are CRISPR-engineered RNF111-RING-KO derivatives and are not assigned separate Cellosaurus accessions.	Primary paper DOI:10.1016/j.mcpro.2021.100173; PRIDE project PXD025890; author ExpDesign.xlsx	Proteome Discoverer search; SEQUEST-HT; full trypsin specificity; 2 maximum missed cleavages; 10 ppm precursor and 0.6 Da fragment tolerance; variable carbamidomethyl(C), oxidation(M), protein N-terminal acetylation and no ubiquitin-remnant modification.	Top N 6 peaks per 100 Da; Percolator FDR 1%; myProMS 3.9; MassChroQ 2.2.21 label-free XIC quantification.	All 78 deposited RAW prefixes were independently checked with bounded 256 KiB requests. This C9304FD.raw header identifies the instrument named in the row; all 54 Proteome rows are Orbitrap Fusion, all 12 diGly rows Q Exactive HF-X, and all 12 Pan-UB rows Orbitrap Exploris 480. Paper methods report HCD, 30 NCE for Proteome, 27 NCE for diGly and 30% NCE for Pan-UB.	PRIDE project metadata, author ExpDesign.xlsx and primary paper; no sample identities are inferred from filenames.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TGF-beta	parental U2OS
PXD025890_Proteome_U2OSplus_Bio2	Homo sapiens	osteosarcoma cell line	cell line	malignant cell	osteosarcoma	U2OS	CVCL_0042	U2OS	15Y	female	not available	not available	2	not applicable	not applicable	not applicable	TGF-beta	not applicable	parental U2OS	PXD025890_C9305FD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not applicable	NT=Trypsin;AC=MS:1001251	2	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	not applicable	not applicable	not applicable	10 ppm	0.6 Da	HPH 15	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	C9305FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025890/C9305FD.raw	Proteome / U2OS(+) / Bio rep 2 / - / HPH 15	Author ExpDesign maps this row to the named sample, biological replicate and analytical fraction. All samples are marked (+) in the author table and represent 1 hour TGF-beta exposure. PRIDE sample protocol records 2 ng/µl TGF-beta, whereas the primary paper reports 2 ng/ml; concentration is intentionally not normalized here.  Proteome samples have no MG132 treatment in the paper protocol.	not applicable	U2OS parental line (Cellosaurus CVCL_0042); clones #1/#2 are CRISPR-engineered RNF111-RING-KO derivatives and are not assigned separate Cellosaurus accessions.	Primary paper DOI:10.1016/j.mcpro.2021.100173; PRIDE project PXD025890; author ExpDesign.xlsx	Proteome Discoverer search; SEQUEST-HT; full trypsin specificity; 2 maximum missed cleavages; 10 ppm precursor and 0.6 Da fragment tolerance; variable carbamidomethyl(C), oxidation(M), protein N-terminal acetylation and no ubiquitin-remnant modification.	Top N 6 peaks per 100 Da; Percolator FDR 1%; myProMS 3.9; MassChroQ 2.2.21 label-free XIC quantification.	All 78 deposited RAW prefixes were independently checked with bounded 256 KiB requests. This C9305FD.raw header identifies the instrument named in the row; all 54 Proteome rows are Orbitrap Fusion, all 12 diGly rows Q Exactive HF-X, and all 12 Pan-UB rows Orbitrap Exploris 480. Paper methods report HCD, 30 NCE for Proteome, 27 NCE for diGly and 30% NCE for Pan-UB.	PRIDE project metadata, author ExpDesign.xlsx and primary paper; no sample identities are inferred from filenames.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TGF-beta	parental U2OS
PXD025890_Proteome_U2OSplus_Bio2	Homo sapiens	osteosarcoma cell line	cell line	malignant cell	osteosarcoma	U2OS	CVCL_0042	U2OS	15Y	female	not available	not available	2	not applicable	not applicable	not applicable	TGF-beta	not applicable	parental U2OS	PXD025890_C9306FD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not applicable	NT=Trypsin;AC=MS:1001251	2	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	not applicable	not applicable	not applicable	10 ppm	0.6 Da	HPH 17.5	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	C9306FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025890/C9306FD.raw	Proteome / U2OS(+) / Bio rep 2 / - / HPH 17.5	Author ExpDesign maps this row to the named sample, biological replicate and analytical fraction. All samples are marked (+) in the author table and represent 1 hour TGF-beta exposure. PRIDE sample protocol records 2 ng/µl TGF-beta, whereas the primary paper reports 2 ng/ml; concentration is intentionally not normalized here.  Proteome samples have no MG132 treatment in the paper protocol.	not applicable	U2OS parental line (Cellosaurus CVCL_0042); clones #1/#2 are CRISPR-engineered RNF111-RING-KO derivatives and are not assigned separate Cellosaurus accessions.	Primary paper DOI:10.1016/j.mcpro.2021.100173; PRIDE project PXD025890; author ExpDesign.xlsx	Proteome Discoverer search; SEQUEST-HT; full trypsin specificity; 2 maximum missed cleavages; 10 ppm precursor and 0.6 Da fragment tolerance; variable carbamidomethyl(C), oxidation(M), protein N-terminal acetylation and no ubiquitin-remnant modification.	Top N 6 peaks per 100 Da; Percolator FDR 1%; myProMS 3.9; MassChroQ 2.2.21 label-free XIC quantification.	All 78 deposited RAW prefixes were independently checked with bounded 256 KiB requests. This C9306FD.raw header identifies the instrument named in the row; all 54 Proteome rows are Orbitrap Fusion, all 12 diGly rows Q Exactive HF-X, and all 12 Pan-UB rows Orbitrap Exploris 480. Paper methods report HCD, 30 NCE for Proteome, 27 NCE for diGly and 30% NCE for Pan-UB.	PRIDE project metadata, author ExpDesign.xlsx and primary paper; no sample identities are inferred from filenames.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TGF-beta	parental U2OS
