source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[raw file group]	factor value[input amount]
Storage_2ng_01	Homo sapiens	Epithelial cell	Cervix carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	not applicable	standard	not applicable	not applicable	not applicable	1	Storage_2ng_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Storage_2ng_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/Storage_2ng_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1000422	30% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	Storage_2ng	2 ng HeLa digest
2ng_4x_02	Homo sapiens	Epithelial cell	Cervix carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	not applicable	standard	not applicable	not applicable	not applicable	1	2ng_4x_02	proteomic profiling by mass spectrometry	2	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2ng_4x_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/2ng_4x_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1000422	30% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	2ng_4x	2 ng HeLa digest
CH3-10ng_hela_22ms_RB1	Homo sapiens	Epithelial cell	Cervix carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	not applicable	standard	not applicable	not applicable	not applicable	1	CH3-10ng_hela_22ms_RB1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	CH3-10ng_hela_22ms_RB1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/CH3-10ng_hela_22ms_RB1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1000422	30% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	CH3-10ng	10 ng HeLa digest
2ng_2x_01	Homo sapiens	Epithelial cell	Cervix carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	not applicable	standard	not applicable	not applicable	not applicable	1	2ng_2x_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2ng_2x_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/2ng_2x_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1000422	30% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	2ng_2x	2 ng HeLa digest
Split_2ng_03	Homo sapiens	Epithelial cell	Cervix carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	not applicable	standard	not applicable	not applicable	not applicable	1	Split_2ng_03	proteomic profiling by mass spectrometry	3	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Split_2ng_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/Split_2ng_03.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1000422	30% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	Split_2ng	2 ng HeLa digest
CH2-10ng_hela_22ms_RB1	Homo sapiens	Epithelial cell	Cervix carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	not applicable	standard	not applicable	not applicable	not applicable	1	CH2-10ng_hela_22ms_RB1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	CH2-10ng_hela_22ms_RB1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/CH2-10ng_hela_22ms_RB1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1000422	30% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	CH2-10ng	10 ng HeLa digest
Split_2ng_01	Homo sapiens	Epithelial cell	Cervix carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	not applicable	standard	not applicable	not applicable	not applicable	1	Split_2ng_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Split_2ng_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/Split_2ng_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1000422	30% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	Split_2ng	2 ng HeLa digest
Split_2ng_02	Homo sapiens	Epithelial cell	Cervix carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	not applicable	standard	not applicable	not applicable	not applicable	1	Split_2ng_02	proteomic profiling by mass spectrometry	2	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Split_2ng_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/Split_2ng_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1000422	30% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	Split_2ng	2 ng HeLa digest
CH1-10ng_hela_22ms_RA1	Homo sapiens	Epithelial cell	Cervix carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	not applicable	standard	not applicable	not applicable	not applicable	1	CH1-10ng_hela_22ms_RA1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	CH1-10ng_hela_22ms_RA1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/CH1-10ng_hela_22ms_RA1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1000422	30% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	CH1-10ng	10 ng HeLa digest
Storage_2ng_02	Homo sapiens	Epithelial cell	Cervix carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	not applicable	standard	not applicable	not applicable	not applicable	1	Storage_2ng_02	proteomic profiling by mass spectrometry	2	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Storage_2ng_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/Storage_2ng_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1000422	30% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	Storage_2ng	2 ng HeLa digest
