source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[condition]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[digestion protocol]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sample preparation batch]	comment[original sample identifier]	comment[autosampler position]	comment[injection volume]	comment[sample role]	comment[search inclusion]	comment[sample description]	comment[replicate provenance]	comment[search parameter source]	comment[annotation provenance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[condition]	factor value[cells per well]
PXD053464_blank_20230626_V1	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	not applicable	buffer control	not applicable	empty	0	PXD053464_20230626_KK_Blank_04_V1_1_14073	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	not applicable	No biological cell input; no protease specificity assigned from the study-sample search.	not available	Data-independent acquisition	not available	not available	375	925	25	1	4	20230626_KK_Blank_04_V1_1_14073.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053464/20230626_KK_Blank_04_V1_1_14073.d.zip	not available	20230626_KK_Blank_04	V1	1 uL	blank injection	absent from archived DIA-NN searches	Repeated blank-vial injection from autosampler position V1; no biological cell assigned.	Blank numbers are retained as technical injection identifiers from the same dated vial position. Biological replicate 1 is the required no-biological-replicate convention, not a biological sample count.	This deposited RAW is absent from both archived DIA-NN search lists. Modification and mass-tolerance metadata are unavailable for this RAW; settings from searched samples are not transferred.	Agent-assisted curation using Codex and sdrf-skills. All 202 archive RAW files are cross-checked against their own SampleInfo.xml and DIA method; 143 single-cell files also match Supplementary Data 8. The archive includes 16 ten-cell preparations and 43 no-cell controls; only 15 ten-cell preparations occur in the archived searches. The primary article reports Bruker timsTOF Pro diaPASEF for this study; individual SampleInfo.xml and diaSettings.diasqlite files were checked. No acquisition date is treated as a sample preparation batch. Cell-line donor metadata: https://www.cellosaurus.org/CVCL_0042 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available	not applicable	0
PXD053464_blank_20230626_V1	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	not applicable	buffer control	not applicable	empty	0	PXD053464_20230626_KK_Blank_05_V1_1_14082	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	not applicable	No biological cell input; no protease specificity assigned from the study-sample search.	not available	Data-independent acquisition	not available	not available	375	925	25	1	5	20230626_KK_Blank_05_V1_1_14082.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053464/20230626_KK_Blank_05_V1_1_14082.d.zip	not available	20230626_KK_Blank_05	V1	1 uL	blank injection	absent from archived DIA-NN searches	Repeated blank-vial injection from autosampler position V1; no biological cell assigned.	Blank numbers are retained as technical injection identifiers from the same dated vial position. Biological replicate 1 is the required no-biological-replicate convention, not a biological sample count.	This deposited RAW is absent from both archived DIA-NN search lists. Modification and mass-tolerance metadata are unavailable for this RAW; settings from searched samples are not transferred.	Agent-assisted curation using Codex and sdrf-skills. All 202 archive RAW files are cross-checked against their own SampleInfo.xml and DIA method; 143 single-cell files also match Supplementary Data 8. The archive includes 16 ten-cell preparations and 43 no-cell controls; only 15 ten-cell preparations occur in the archived searches. The primary article reports Bruker timsTOF Pro diaPASEF for this study; individual SampleInfo.xml and diaSettings.diasqlite files were checked. No acquisition date is treated as a sample preparation batch. Cell-line donor metadata: https://www.cellosaurus.org/CVCL_0042 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available	not applicable	0
PXD053464_blank_20230626_V1	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	not applicable	buffer control	not applicable	empty	0	PXD053464_20230626_KK_Blank_06_V1_1_14085	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	not applicable	No biological cell input; no protease specificity assigned from the study-sample search.	not available	Data-independent acquisition	not available	not available	375	925	25	1	6	20230626_KK_Blank_06_V1_1_14085.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053464/20230626_KK_Blank_06_V1_1_14085.d.zip	not available	20230626_KK_Blank_06	V1	1 uL	blank injection	absent from archived DIA-NN searches	Repeated blank-vial injection from autosampler position V1; no biological cell assigned.	Blank numbers are retained as technical injection identifiers from the same dated vial position. Biological replicate 1 is the required no-biological-replicate convention, not a biological sample count.	This deposited RAW is absent from both archived DIA-NN search lists. Modification and mass-tolerance metadata are unavailable for this RAW; settings from searched samples are not transferred.	Agent-assisted curation using Codex and sdrf-skills. All 202 archive RAW files are cross-checked against their own SampleInfo.xml and DIA method; 143 single-cell files also match Supplementary Data 8. The archive includes 16 ten-cell preparations and 43 no-cell controls; only 15 ten-cell preparations occur in the archived searches. The primary article reports Bruker timsTOF Pro diaPASEF for this study; individual SampleInfo.xml and diaSettings.diasqlite files were checked. No acquisition date is treated as a sample preparation batch. Cell-line donor metadata: https://www.cellosaurus.org/CVCL_0042 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available	not applicable	0
PXD053464_blank_20230626_V1	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	not applicable	buffer control	not applicable	empty	0	PXD053464_20230626_KK_Blank_07_V1_1_14088	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	not applicable	No biological cell input; no protease specificity assigned from the study-sample search.	not available	Data-independent acquisition	not available	not available	375	925	25	1	7	20230626_KK_Blank_07_V1_1_14088.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053464/20230626_KK_Blank_07_V1_1_14088.d.zip	not available	20230626_KK_Blank_07	V1	1 uL	blank injection	absent from archived DIA-NN searches	Repeated blank-vial injection from autosampler position V1; no biological cell assigned.	Blank numbers are retained as technical injection identifiers from the same dated vial position. Biological replicate 1 is the required no-biological-replicate convention, not a biological sample count.	This deposited RAW is absent from both archived DIA-NN search lists. Modification and mass-tolerance metadata are unavailable for this RAW; settings from searched samples are not transferred.	Agent-assisted curation using Codex and sdrf-skills. All 202 archive RAW files are cross-checked against their own SampleInfo.xml and DIA method; 143 single-cell files also match Supplementary Data 8. The archive includes 16 ten-cell preparations and 43 no-cell controls; only 15 ten-cell preparations occur in the archived searches. The primary article reports Bruker timsTOF Pro diaPASEF for this study; individual SampleInfo.xml and diaSettings.diasqlite files were checked. No acquisition date is treated as a sample preparation batch. Cell-line donor metadata: https://www.cellosaurus.org/CVCL_0042 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available	not applicable	0
PXD053464_blank_20230626_V1	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	not applicable	buffer control	not applicable	empty	0	PXD053464_20230626_KK_Blank_08_V1_1_14097	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	not applicable	No biological cell input; no protease specificity assigned from the study-sample search.	not available	Data-independent acquisition	not available	not available	375	925	25	1	8	20230626_KK_Blank_08_V1_1_14097.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053464/20230626_KK_Blank_08_V1_1_14097.d.zip	not available	20230626_KK_Blank_08	V1	1 uL	blank injection	absent from archived DIA-NN searches	Repeated blank-vial injection from autosampler position V1; no biological cell assigned.	Blank numbers are retained as technical injection identifiers from the same dated vial position. Biological replicate 1 is the required no-biological-replicate convention, not a biological sample count.	This deposited RAW is absent from both archived DIA-NN search lists. Modification and mass-tolerance metadata are unavailable for this RAW; settings from searched samples are not transferred.	Agent-assisted curation using Codex and sdrf-skills. All 202 archive RAW files are cross-checked against their own SampleInfo.xml and DIA method; 143 single-cell files also match Supplementary Data 8. The archive includes 16 ten-cell preparations and 43 no-cell controls; only 15 ten-cell preparations occur in the archived searches. The primary article reports Bruker timsTOF Pro diaPASEF for this study; individual SampleInfo.xml and diaSettings.diasqlite files were checked. No acquisition date is treated as a sample preparation batch. Cell-line donor metadata: https://www.cellosaurus.org/CVCL_0042 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available	not applicable	0
PXD053464_blank_20230626_V1	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	not applicable	buffer control	not applicable	empty	0	PXD053464_20230626_KK_Blank_09_V1_1_14106	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	not applicable	No biological cell input; no protease specificity assigned from the study-sample search.	not available	Data-independent acquisition	not available	not available	375	925	25	1	9	20230626_KK_Blank_09_V1_1_14106.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053464/20230626_KK_Blank_09_V1_1_14106.d.zip	not available	20230626_KK_Blank_09	V1	1 uL	blank injection	absent from archived DIA-NN searches	Repeated blank-vial injection from autosampler position V1; no biological cell assigned.	Blank numbers are retained as technical injection identifiers from the same dated vial position. Biological replicate 1 is the required no-biological-replicate convention, not a biological sample count.	This deposited RAW is absent from both archived DIA-NN search lists. Modification and mass-tolerance metadata are unavailable for this RAW; settings from searched samples are not transferred.	Agent-assisted curation using Codex and sdrf-skills. All 202 archive RAW files are cross-checked against their own SampleInfo.xml and DIA method; 143 single-cell files also match Supplementary Data 8. The archive includes 16 ten-cell preparations and 43 no-cell controls; only 15 ten-cell preparations occur in the archived searches. The primary article reports Bruker timsTOF Pro diaPASEF for this study; individual SampleInfo.xml and diaSettings.diasqlite files were checked. No acquisition date is treated as a sample preparation batch. Cell-line donor metadata: https://www.cellosaurus.org/CVCL_0042 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available	not applicable	0
PXD053464_blank_20230626_V1	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	not applicable	buffer control	not applicable	empty	0	PXD053464_20230626_KK_Blank_10_V1_1_14115	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	not applicable	No biological cell input; no protease specificity assigned from the study-sample search.	not available	Data-independent acquisition	not available	not available	375	925	25	1	10	20230626_KK_Blank_10_V1_1_14115.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053464/20230626_KK_Blank_10_V1_1_14115.d.zip	not available	20230626_KK_Blank_10	V1	1 uL	blank injection	absent from archived DIA-NN searches	Repeated blank-vial injection from autosampler position V1; no biological cell assigned.	Blank numbers are retained as technical injection identifiers from the same dated vial position. Biological replicate 1 is the required no-biological-replicate convention, not a biological sample count.	This deposited RAW is absent from both archived DIA-NN search lists. Modification and mass-tolerance metadata are unavailable for this RAW; settings from searched samples are not transferred.	Agent-assisted curation using Codex and sdrf-skills. All 202 archive RAW files are cross-checked against their own SampleInfo.xml and DIA method; 143 single-cell files also match Supplementary Data 8. The archive includes 16 ten-cell preparations and 43 no-cell controls; only 15 ten-cell preparations occur in the archived searches. The primary article reports Bruker timsTOF Pro diaPASEF for this study; individual SampleInfo.xml and diaSettings.diasqlite files were checked. No acquisition date is treated as a sample preparation batch. Cell-line donor metadata: https://www.cellosaurus.org/CVCL_0042 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available	not applicable	0
PXD053464_blank_20230626_V1	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	not applicable	buffer control	not applicable	empty	0	PXD053464_20230626_KK_Blank_11_V1_1_14124	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	not applicable	No biological cell input; no protease specificity assigned from the study-sample search.	not available	Data-independent acquisition	not available	not available	375	925	25	1	11	20230626_KK_Blank_11_V1_1_14124.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053464/20230626_KK_Blank_11_V1_1_14124.d.zip	not available	20230626_KK_Blank_11	V1	1 uL	blank injection	absent from archived DIA-NN searches	Repeated blank-vial injection from autosampler position V1; no biological cell assigned.	Blank numbers are retained as technical injection identifiers from the same dated vial position. Biological replicate 1 is the required no-biological-replicate convention, not a biological sample count.	This deposited RAW is absent from both archived DIA-NN search lists. Modification and mass-tolerance metadata are unavailable for this RAW; settings from searched samples are not transferred.	Agent-assisted curation using Codex and sdrf-skills. All 202 archive RAW files are cross-checked against their own SampleInfo.xml and DIA method; 143 single-cell files also match Supplementary Data 8. The archive includes 16 ten-cell preparations and 43 no-cell controls; only 15 ten-cell preparations occur in the archived searches. The primary article reports Bruker timsTOF Pro diaPASEF for this study; individual SampleInfo.xml and diaSettings.diasqlite files were checked. No acquisition date is treated as a sample preparation batch. Cell-line donor metadata: https://www.cellosaurus.org/CVCL_0042 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available	not applicable	0
PXD053464_blank_20230626_V1	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	not applicable	buffer control	not applicable	empty	0	PXD053464_20230626_KK_Blank_12_V1_1_14133	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	not applicable	No biological cell input; no protease specificity assigned from the study-sample search.	not available	Data-independent acquisition	not available	not available	375	925	25	1	12	20230626_KK_Blank_12_V1_1_14133.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053464/20230626_KK_Blank_12_V1_1_14133.d.zip	not available	20230626_KK_Blank_12	V1	1 uL	blank injection	absent from archived DIA-NN searches	Repeated blank-vial injection from autosampler position V1; no biological cell assigned.	Blank numbers are retained as technical injection identifiers from the same dated vial position. Biological replicate 1 is the required no-biological-replicate convention, not a biological sample count.	This deposited RAW is absent from both archived DIA-NN search lists. Modification and mass-tolerance metadata are unavailable for this RAW; settings from searched samples are not transferred.	Agent-assisted curation using Codex and sdrf-skills. All 202 archive RAW files are cross-checked against their own SampleInfo.xml and DIA method; 143 single-cell files also match Supplementary Data 8. The archive includes 16 ten-cell preparations and 43 no-cell controls; only 15 ten-cell preparations occur in the archived searches. The primary article reports Bruker timsTOF Pro diaPASEF for this study; individual SampleInfo.xml and diaSettings.diasqlite files were checked. No acquisition date is treated as a sample preparation batch. Cell-line donor metadata: https://www.cellosaurus.org/CVCL_0042 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available	not applicable	0
PXD053464_blank_20230626_V1	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	not applicable	buffer control	not applicable	empty	0	PXD053464_20230626_KK_Blank_13_V1_1_14142	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	not applicable	No biological cell input; no protease specificity assigned from the study-sample search.	not available	Data-independent acquisition	not available	not available	375	925	25	1	13	20230626_KK_Blank_13_V1_1_14142.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD053464/20230626_KK_Blank_13_V1_1_14142.d.zip	not available	20230626_KK_Blank_13	V1	1 uL	blank injection	absent from archived DIA-NN searches	Repeated blank-vial injection from autosampler position V1; no biological cell assigned.	Blank numbers are retained as technical injection identifiers from the same dated vial position. Biological replicate 1 is the required no-biological-replicate convention, not a biological sample count.	This deposited RAW is absent from both archived DIA-NN search lists. Modification and mass-tolerance metadata are unavailable for this RAW; settings from searched samples are not transferred.	Agent-assisted curation using Codex and sdrf-skills. All 202 archive RAW files are cross-checked against their own SampleInfo.xml and DIA method; 143 single-cell files also match Supplementary Data 8. The archive includes 16 ten-cell preparations and 43 no-cell controls; only 15 ten-cell preparations occur in the archived searches. The primary article reports Bruker timsTOF Pro diaPASEF for this study; individual SampleInfo.xml and diaSettings.diasqlite files were checked. No acquisition date is treated as a sample preparation batch. Cell-line donor metadata: https://www.cellosaurus.org/CVCL_0042 ; study: https://doi.org/10.1038/s41467-024-52605-x	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available	not applicable	0
