source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[disease staging]	characteristics[material type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[pooled sample]	characteristics[sample type]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms min mz]	comment[ms max mz]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
P5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=ovarian carcinoma;AC=MONDO:0005140	NT=Stage I;AC=NCIT:C27966	organism part	NT=adult;AC=EFO:0001272	not available	not available	not available	P5	not pooled	NT=study sample;AC=PRIDE:0001013	not applicable	1	P5	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.5 Da	375m/z	1500m/z	1	1	P5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=blood plasma;AC=UBERON:0001969
P6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=ovarian carcinoma;AC=MONDO:0005140	NT=Stage I;AC=NCIT:C27966	organism part	NT=adult;AC=EFO:0001272	not available	not available	not available	P6	not pooled	NT=study sample;AC=PRIDE:0001013	not applicable	2	P6	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.5 Da	375m/z	1500m/z	1	1	P6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=blood plasma;AC=UBERON:0001969
P7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=ovarian carcinoma;AC=MONDO:0005140	NT=Stage I;AC=NCIT:C27966	organism part	NT=adult;AC=EFO:0001272	not available	not available	not available	P7	not pooled	NT=study sample;AC=PRIDE:0001013	not applicable	3	P7	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.5 Da	375m/z	1500m/z	1	1	P7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=blood plasma;AC=UBERON:0001969
P8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=ovarian carcinoma;AC=MONDO:0005140	NT=Stage I;AC=NCIT:C27966	organism part	NT=adult;AC=EFO:0001272	not available	not available	not available	P8	not pooled	NT=study sample;AC=PRIDE:0001013	not applicable	4	P8	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.5 Da	375m/z	1500m/z	1	1	P8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=blood plasma;AC=UBERON:0001969
P9	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=ovarian carcinoma;AC=MONDO:0005140	NT=Stage I;AC=NCIT:C27966	organism part	NT=adult;AC=EFO:0001272	not available	not available	not available	P9	not pooled	NT=study sample;AC=PRIDE:0001013	not applicable	5	P9	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.5 Da	375m/z	1500m/z	1	1	P9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=blood plasma;AC=UBERON:0001969
C3Ca1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=ovarian carcinoma;AC=MONDO:0005140	not available	organism part	not available	not available	not available	not available	pooled	pooled	NT=study sample;AC=PRIDE:0001013	not applicable	1	C3Ca1_Trypsin	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.5 Da	375m/z	1500m/z	1	1	C3Ca1_Trypsin.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=blood plasma;AC=UBERON:0001969
C3Ca1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=ovarian carcinoma;AC=MONDO:0005140	not available	organism part	not available	not available	not available	not available	pooled	pooled	NT=study sample;AC=PRIDE:0001013	not applicable	1	C3Ca1_LysC	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.5 Da	375m/z	1500m/z	1	1	C3Ca1_LysC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=blood plasma;AC=UBERON:0001969
C3Ca2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=ovarian carcinoma;AC=MONDO:0005140	not available	organism part	not available	not available	not available	not available	pooled	pooled	NT=study sample;AC=PRIDE:0001013	not applicable	1	C3Ca2_Trypsin	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.5 Da	375m/z	1500m/z	1	1	C3Ca2_Trypsin.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=blood plasma;AC=UBERON:0001969
C3Ca2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=ovarian carcinoma;AC=MONDO:0005140	not available	organism part	not available	not available	not available	not available	pooled	pooled	NT=study sample;AC=PRIDE:0001013	not applicable	1	C3Ca2_AspN	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Asp-N;AC=MS:1001304	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.5 Da	375m/z	1500m/z	1	1	C3Ca2_AspN.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=blood plasma;AC=UBERON:0001969
HAIgG_serum	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood serum;AC=UBERON:0001977	not applicable	not available	not applicable	organism part	not available	not available	not available	not available	not available	not available	NT=study sample;AC=PRIDE:0001013	heat-aggregated immunoglobulin G	1	IgG	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Pyridylethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.5 Da	375m/z	1500m/z	1	1	IgG.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=blood serum;AC=UBERON:0001977
