source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[culture medium]	characteristics[passage number]	characteristics[treatment]	characteristics[enrichment process]	characteristics[construct group]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[modification parameters]	comment[modification parameters]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[N-terminal methionine excision]	comment[annotation provenance]	factor value[construct group]
HeLa_HLA-A3E-APEX2_Bio1	Homo sapiens	not applicable	not available	cell line	cervical adenocarcinoma	30Y	female	not applicable	adult	1	HeLa	CVCL_0030	HeLa	Dulbecco's Modified Eagle Medium	not available	biotin-phenol 30 min then 1 mM H2O2 for 40 s (APEX2 proximity labeling)	Affinity purification coupled with mass spectrometry proteomics	HeLa_HLA-A3E-APEX2	HeLa_HLA-A3E-APEX2_BR1_R1	proteomic profiling by mass spectrometry	QE2113_MSQ2771_WanlinHe_A3E_1.raw	1	NT=Q Exactive;AC=MS:1001911	Data-independent acquisition	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=HCD;AC=MS:1000422	28 NCE	not available	not available	495m/z-995m/z	NT=orbitrap;AC=MS:1000484	1	495	995	20	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	enabled	PMC12582296 describes four input replicate preparations per construct, with one per condition excluded during downstream quality control and three independent samples analyzed. All 18 deposited RAWs are retained, including two explicitly named test injections. Source names distinguish the 16 replicate preparations. All 18 native RAW prefixes and the deposited acquisition protocol identify Q Exactive, correcting the unsupported HF model. DIA-NN search specifies Trypsin/P and fixed CAM, with N-terminal methionine excision; no variable oxidation setting is reported.	HeLa_HLA-A3E-APEX2
HeLa_HLA-A3E-APEX2_Bio2	Homo sapiens	not applicable	not available	cell line	cervical adenocarcinoma	30Y	female	not applicable	adult	2	HeLa	CVCL_0030	HeLa	Dulbecco's Modified Eagle Medium	not available	biotin-phenol 30 min then 1 mM H2O2 for 40 s (APEX2 proximity labeling)	Affinity purification coupled with mass spectrometry proteomics	HeLa_HLA-A3E-APEX2	HeLa_HLA-A3E-APEX2_BR2_R1	proteomic profiling by mass spectrometry	QE2113_MSQ2771_WanlinHe_A3E_2.raw	1	NT=Q Exactive;AC=MS:1001911	Data-independent acquisition	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=HCD;AC=MS:1000422	28 NCE	not available	not available	495m/z-995m/z	NT=orbitrap;AC=MS:1000484	1	495	995	20	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	enabled	PMC12582296 describes four input replicate preparations per construct, with one per condition excluded during downstream quality control and three independent samples analyzed. All 18 deposited RAWs are retained, including two explicitly named test injections. Source names distinguish the 16 replicate preparations. All 18 native RAW prefixes and the deposited acquisition protocol identify Q Exactive, correcting the unsupported HF model. DIA-NN search specifies Trypsin/P and fixed CAM, with N-terminal methionine excision; no variable oxidation setting is reported.	HeLa_HLA-A3E-APEX2
HeLa_HLA-A3E-APEX2_Bio3	Homo sapiens	not applicable	not available	cell line	cervical adenocarcinoma	30Y	female	not applicable	adult	3	HeLa	CVCL_0030	HeLa	Dulbecco's Modified Eagle Medium	not available	biotin-phenol 30 min then 1 mM H2O2 for 40 s (APEX2 proximity labeling)	Affinity purification coupled with mass spectrometry proteomics	HeLa_HLA-A3E-APEX2	HeLa_HLA-A3E-APEX2_BR3_R1	proteomic profiling by mass spectrometry	QE2113_MSQ2771_WanlinHe_A3E_3.raw	1	NT=Q Exactive;AC=MS:1001911	Data-independent acquisition	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=HCD;AC=MS:1000422	28 NCE	not available	not available	495m/z-995m/z	NT=orbitrap;AC=MS:1000484	1	495	995	20	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	enabled	PMC12582296 describes four input replicate preparations per construct, with one per condition excluded during downstream quality control and three independent samples analyzed. All 18 deposited RAWs are retained, including two explicitly named test injections. Source names distinguish the 16 replicate preparations. All 18 native RAW prefixes and the deposited acquisition protocol identify Q Exactive, correcting the unsupported HF model. DIA-NN search specifies Trypsin/P and fixed CAM, with N-terminal methionine excision; no variable oxidation setting is reported.	HeLa_HLA-A3E-APEX2
HeLa_HLA-A3E-APEX2_Bio4	Homo sapiens	not applicable	not available	cell line	cervical adenocarcinoma	30Y	female	not applicable	adult	4	HeLa	CVCL_0030	HeLa	Dulbecco's Modified Eagle Medium	not available	biotin-phenol 30 min then 1 mM H2O2 for 40 s (APEX2 proximity labeling)	Affinity purification coupled with mass spectrometry proteomics	HeLa_HLA-A3E-APEX2	HeLa_HLA-A3E-APEX2_BR4_R1	proteomic profiling by mass spectrometry	QE2113_MSQ2771_WanlinHe_A3E_4.raw	1	NT=Q Exactive;AC=MS:1001911	Data-independent acquisition	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=HCD;AC=MS:1000422	28 NCE	not available	not available	495m/z-995m/z	NT=orbitrap;AC=MS:1000484	1	495	995	20	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	enabled	PMC12582296 describes four input replicate preparations per construct, with one per condition excluded during downstream quality control and three independent samples analyzed. All 18 deposited RAWs are retained, including two explicitly named test injections. Source names distinguish the 16 replicate preparations. All 18 native RAW prefixes and the deposited acquisition protocol identify Q Exactive, correcting the unsupported HF model. DIA-NN search specifies Trypsin/P and fixed CAM, with N-terminal methionine excision; no variable oxidation setting is reported.	HeLa_HLA-A3E-APEX2
HeLa_HLA-A3-APEX2_Bio1	Homo sapiens	not applicable	not available	cell line	cervical adenocarcinoma	30Y	female	not applicable	adult	1	HeLa	CVCL_0030	HeLa	Dulbecco's Modified Eagle Medium	not available	biotin-phenol 30 min then 1 mM H2O2 for 40 s (APEX2 proximity labeling)	Affinity purification coupled with mass spectrometry proteomics	HeLa_HLA-A3-APEX2	HeLa_HLA-A3-APEX2_BR1_R1	proteomic profiling by mass spectrometry	QE2113_MSQ2771_WanlinHe_A3_1.raw	1	NT=Q Exactive;AC=MS:1001911	Data-independent acquisition	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=HCD;AC=MS:1000422	28 NCE	not available	not available	495m/z-995m/z	NT=orbitrap;AC=MS:1000484	1	495	995	20	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	enabled	PMC12582296 describes four input replicate preparations per construct, with one per condition excluded during downstream quality control and three independent samples analyzed. All 18 deposited RAWs are retained, including two explicitly named test injections. Source names distinguish the 16 replicate preparations. All 18 native RAW prefixes and the deposited acquisition protocol identify Q Exactive, correcting the unsupported HF model. DIA-NN search specifies Trypsin/P and fixed CAM, with N-terminal methionine excision; no variable oxidation setting is reported.	HeLa_HLA-A3-APEX2
HeLa_HLA-A3-APEX2_Bio1	Homo sapiens	not applicable	not available	cell line	cervical adenocarcinoma	30Y	female	not applicable	adult	1	HeLa	CVCL_0030	HeLa	Dulbecco's Modified Eagle Medium	not available	biotin-phenol 30 min then 1 mM H2O2 for 40 s (APEX2 proximity labeling)	Affinity purification coupled with mass spectrometry proteomics	HeLa_HLA-A3-APEX2	HeLa_HLA-A3-APEX2_BR1_R2	proteomic profiling by mass spectrometry	QE2113_MSQ2771_WanlinHe_A3_1_test.raw	2	NT=Q Exactive;AC=MS:1001911	Data-independent acquisition	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=HCD;AC=MS:1000422	28 NCE	not available	not available	495m/z-995m/z	NT=orbitrap;AC=MS:1000484	1	495	995	20	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	enabled	PMC12582296 describes four input replicate preparations per construct, with one per condition excluded during downstream quality control and three independent samples analyzed. All 18 deposited RAWs are retained, including two explicitly named test injections. Source names distinguish the 16 replicate preparations. All 18 native RAW prefixes and the deposited acquisition protocol identify Q Exactive, correcting the unsupported HF model. DIA-NN search specifies Trypsin/P and fixed CAM, with N-terminal methionine excision; no variable oxidation setting is reported.	HeLa_HLA-A3-APEX2
HeLa_HLA-A3-APEX2_Bio2	Homo sapiens	not applicable	not available	cell line	cervical adenocarcinoma	30Y	female	not applicable	adult	2	HeLa	CVCL_0030	HeLa	Dulbecco's Modified Eagle Medium	not available	biotin-phenol 30 min then 1 mM H2O2 for 40 s (APEX2 proximity labeling)	Affinity purification coupled with mass spectrometry proteomics	HeLa_HLA-A3-APEX2	HeLa_HLA-A3-APEX2_BR2_R1	proteomic profiling by mass spectrometry	QE2113_MSQ2771_WanlinHe_A3_2.raw	1	NT=Q Exactive;AC=MS:1001911	Data-independent acquisition	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=HCD;AC=MS:1000422	28 NCE	not available	not available	495m/z-995m/z	NT=orbitrap;AC=MS:1000484	1	495	995	20	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	enabled	PMC12582296 describes four input replicate preparations per construct, with one per condition excluded during downstream quality control and three independent samples analyzed. All 18 deposited RAWs are retained, including two explicitly named test injections. Source names distinguish the 16 replicate preparations. All 18 native RAW prefixes and the deposited acquisition protocol identify Q Exactive, correcting the unsupported HF model. DIA-NN search specifies Trypsin/P and fixed CAM, with N-terminal methionine excision; no variable oxidation setting is reported.	HeLa_HLA-A3-APEX2
HeLa_HLA-A3-APEX2_Bio3	Homo sapiens	not applicable	not available	cell line	cervical adenocarcinoma	30Y	female	not applicable	adult	3	HeLa	CVCL_0030	HeLa	Dulbecco's Modified Eagle Medium	not available	biotin-phenol 30 min then 1 mM H2O2 for 40 s (APEX2 proximity labeling)	Affinity purification coupled with mass spectrometry proteomics	HeLa_HLA-A3-APEX2	HeLa_HLA-A3-APEX2_BR3_R1	proteomic profiling by mass spectrometry	QE2113_MSQ2771_WanlinHe_A3_3.raw	1	NT=Q Exactive;AC=MS:1001911	Data-independent acquisition	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=HCD;AC=MS:1000422	28 NCE	not available	not available	495m/z-995m/z	NT=orbitrap;AC=MS:1000484	1	495	995	20	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	enabled	PMC12582296 describes four input replicate preparations per construct, with one per condition excluded during downstream quality control and three independent samples analyzed. All 18 deposited RAWs are retained, including two explicitly named test injections. Source names distinguish the 16 replicate preparations. All 18 native RAW prefixes and the deposited acquisition protocol identify Q Exactive, correcting the unsupported HF model. DIA-NN search specifies Trypsin/P and fixed CAM, with N-terminal methionine excision; no variable oxidation setting is reported.	HeLa_HLA-A3-APEX2
HeLa_HLA-A3-APEX2_Bio4	Homo sapiens	not applicable	not available	cell line	cervical adenocarcinoma	30Y	female	not applicable	adult	4	HeLa	CVCL_0030	HeLa	Dulbecco's Modified Eagle Medium	not available	biotin-phenol 30 min then 1 mM H2O2 for 40 s (APEX2 proximity labeling)	Affinity purification coupled with mass spectrometry proteomics	HeLa_HLA-A3-APEX2	HeLa_HLA-A3-APEX2_BR4_R1	proteomic profiling by mass spectrometry	QE2113_MSQ2771_WanlinHe_A3_4.raw	1	NT=Q Exactive;AC=MS:1001911	Data-independent acquisition	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=HCD;AC=MS:1000422	28 NCE	not available	not available	495m/z-995m/z	NT=orbitrap;AC=MS:1000484	1	495	995	20	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	enabled	PMC12582296 describes four input replicate preparations per construct, with one per condition excluded during downstream quality control and three independent samples analyzed. All 18 deposited RAWs are retained, including two explicitly named test injections. Source names distinguish the 16 replicate preparations. All 18 native RAW prefixes and the deposited acquisition protocol identify Q Exactive, correcting the unsupported HF model. DIA-NN search specifies Trypsin/P and fixed CAM, with N-terminal methionine excision; no variable oxidation setting is reported.	HeLa_HLA-A3-APEX2
HeLa_HLA-EA3-APEX2_Bio1	Homo sapiens	not applicable	not available	cell line	cervical adenocarcinoma	30Y	female	not applicable	adult	1	HeLa	CVCL_0030	HeLa	Dulbecco's Modified Eagle Medium	not available	biotin-phenol 30 min then 1 mM H2O2 for 40 s (APEX2 proximity labeling)	Affinity purification coupled with mass spectrometry proteomics	HeLa_HLA-EA3-APEX2	HeLa_HLA-EA3-APEX2_BR1_R1	proteomic profiling by mass spectrometry	QE2113_MSQ2771_WanlinHe_EA3_1.raw	1	NT=Q Exactive;AC=MS:1001911	Data-independent acquisition	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=HCD;AC=MS:1000422	28 NCE	not available	not available	495m/z-995m/z	NT=orbitrap;AC=MS:1000484	1	495	995	20	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	enabled	PMC12582296 describes four input replicate preparations per construct, with one per condition excluded during downstream quality control and three independent samples analyzed. All 18 deposited RAWs are retained, including two explicitly named test injections. Source names distinguish the 16 replicate preparations. All 18 native RAW prefixes and the deposited acquisition protocol identify Q Exactive, correcting the unsupported HF model. DIA-NN search specifies Trypsin/P and fixed CAM, with N-terminal methionine excision; no variable oxidation setting is reported.	HeLa_HLA-EA3-APEX2
