source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[biological replicate]	characteristics[experimental condition]	characteristics[pooled sample]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[search enzyme]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[original sample identifier]	comment[group cell line description]	comment[sample description]	comment[search parameter source]	comment[annotation provenance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[experimental condition]
PXD064333_Neg_S01	Mus musculus	embryo	embryonic stem cell	parental cell line mESC	not available	not available	normal	embryo stage	not available	129 x C57BL/6	1	Neg	not pooled	PXD064333_L3_241201_Vyt_4566_Neg_S01	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	20 ppm	0.6 Da	1	1	L3_241201_Vyt_4566_Neg_S01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/07/PXD064333/L3_241201_Vyt_4566_Neg_S01.raw	Neg_S01	parental cell line mESC	Immunoprecipitation proteomics of laboratory mouse embryonic stem-cell lines on the study-reported 129 x C57BL/6 background. Neg is the author parental-line control, WT is the tagged ADNP reference, dN is the ADNP N-terminal truncation group and PxVxL is the ADNP motif-mutant group. The author cell-line descriptions name group-level clone rosters; no particular clone is assigned to a replicate. The ADNP-3xFLAG-V5 wording is retained from the deposited sample table; the preprint uses ADNP-Avi-3xFLAG, so tag identity is not independently harmonized.	Deposited fragger.params: precursor search -20 to +20 ppm, initial fragment tolerance 0.6 Da, automatic mass calibration/parameter optimization enabled (calibrate_mass=2). Final optimized fragment tolerance is unresolved: the protocol reports 250 ppm and the author SDRF 300 ppm. The structured fragment field records the deposited initial setting. Search specificity is C-terminal K/R with an empty proline-exclusion field (Trypsin/P); sample preparation uses Lys-C and trypsin. The configuration confirms fixed C-carbamidomethylation 57.02146 Da and variable M-oxidation and protein N-terminal acetylation.	Agent-assisted curation using Codex and sdrf-skills. Sample and replicate mapping: deposited 4566_sdrf.tsv; search settings: fragger.params; instrument and acquisition-method names: all 12 RAW headers. Biology: preprint https://doi.org/10.1101/2025.07.03.662926 , which explicitly lists PXD064333. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD064333 . No exact Cellosaurus match was found for laboratory line cMB664. The 12 calibrated mzML files are derivatives of these 12 RAW acquisitions, not additional runs.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Neg
PXD064333_Neg_S02	Mus musculus	embryo	embryonic stem cell	parental cell line mESC	not available	not available	normal	embryo stage	not available	129 x C57BL/6	2	Neg	not pooled	PXD064333_L3_241201_Vyt_4566_Neg_S02	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	20 ppm	0.6 Da	1	1	L3_241201_Vyt_4566_Neg_S02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/07/PXD064333/L3_241201_Vyt_4566_Neg_S02.raw	Neg_S02	parental cell line mESC	Immunoprecipitation proteomics of laboratory mouse embryonic stem-cell lines on the study-reported 129 x C57BL/6 background. Neg is the author parental-line control, WT is the tagged ADNP reference, dN is the ADNP N-terminal truncation group and PxVxL is the ADNP motif-mutant group. The author cell-line descriptions name group-level clone rosters; no particular clone is assigned to a replicate. The ADNP-3xFLAG-V5 wording is retained from the deposited sample table; the preprint uses ADNP-Avi-3xFLAG, so tag identity is not independently harmonized.	Deposited fragger.params: precursor search -20 to +20 ppm, initial fragment tolerance 0.6 Da, automatic mass calibration/parameter optimization enabled (calibrate_mass=2). Final optimized fragment tolerance is unresolved: the protocol reports 250 ppm and the author SDRF 300 ppm. The structured fragment field records the deposited initial setting. Search specificity is C-terminal K/R with an empty proline-exclusion field (Trypsin/P); sample preparation uses Lys-C and trypsin. The configuration confirms fixed C-carbamidomethylation 57.02146 Da and variable M-oxidation and protein N-terminal acetylation.	Agent-assisted curation using Codex and sdrf-skills. Sample and replicate mapping: deposited 4566_sdrf.tsv; search settings: fragger.params; instrument and acquisition-method names: all 12 RAW headers. Biology: preprint https://doi.org/10.1101/2025.07.03.662926 , which explicitly lists PXD064333. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD064333 . No exact Cellosaurus match was found for laboratory line cMB664. The 12 calibrated mzML files are derivatives of these 12 RAW acquisitions, not additional runs.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Neg
PXD064333_Neg_S03	Mus musculus	embryo	embryonic stem cell	parental cell line mESC	not available	not available	normal	embryo stage	not available	129 x C57BL/6	3	Neg	not pooled	PXD064333_L3_241201_Vyt_4566_Neg_S03	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	20 ppm	0.6 Da	1	1	L3_241201_Vyt_4566_Neg_S03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/07/PXD064333/L3_241201_Vyt_4566_Neg_S03.raw	Neg_S03	parental cell line mESC	Immunoprecipitation proteomics of laboratory mouse embryonic stem-cell lines on the study-reported 129 x C57BL/6 background. Neg is the author parental-line control, WT is the tagged ADNP reference, dN is the ADNP N-terminal truncation group and PxVxL is the ADNP motif-mutant group. The author cell-line descriptions name group-level clone rosters; no particular clone is assigned to a replicate. The ADNP-3xFLAG-V5 wording is retained from the deposited sample table; the preprint uses ADNP-Avi-3xFLAG, so tag identity is not independently harmonized.	Deposited fragger.params: precursor search -20 to +20 ppm, initial fragment tolerance 0.6 Da, automatic mass calibration/parameter optimization enabled (calibrate_mass=2). Final optimized fragment tolerance is unresolved: the protocol reports 250 ppm and the author SDRF 300 ppm. The structured fragment field records the deposited initial setting. Search specificity is C-terminal K/R with an empty proline-exclusion field (Trypsin/P); sample preparation uses Lys-C and trypsin. The configuration confirms fixed C-carbamidomethylation 57.02146 Da and variable M-oxidation and protein N-terminal acetylation.	Agent-assisted curation using Codex and sdrf-skills. Sample and replicate mapping: deposited 4566_sdrf.tsv; search settings: fragger.params; instrument and acquisition-method names: all 12 RAW headers. Biology: preprint https://doi.org/10.1101/2025.07.03.662926 , which explicitly lists PXD064333. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD064333 . No exact Cellosaurus match was found for laboratory line cMB664. The 12 calibrated mzML files are derivatives of these 12 RAW acquisitions, not additional runs.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Neg
PXD064333_WT_S04	Mus musculus	embryo	embryonic stem cell	ADNP-3xFLAG-V5, cMB664	not available	not available	normal	embryo stage	not available	129 x C57BL/6	1	WT	not pooled	PXD064333_L3_241201_Vyt_4566_WT_S04	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	20 ppm	0.6 Da	1	1	L3_241201_Vyt_4566_WT_S04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/07/PXD064333/L3_241201_Vyt_4566_WT_S04.raw	WT_S04	ADNP-3xFLAG-V5, cMB664	Immunoprecipitation proteomics of laboratory mouse embryonic stem-cell lines on the study-reported 129 x C57BL/6 background. Neg is the author parental-line control, WT is the tagged ADNP reference, dN is the ADNP N-terminal truncation group and PxVxL is the ADNP motif-mutant group. The author cell-line descriptions name group-level clone rosters; no particular clone is assigned to a replicate. The ADNP-3xFLAG-V5 wording is retained from the deposited sample table; the preprint uses ADNP-Avi-3xFLAG, so tag identity is not independently harmonized.	Deposited fragger.params: precursor search -20 to +20 ppm, initial fragment tolerance 0.6 Da, automatic mass calibration/parameter optimization enabled (calibrate_mass=2). Final optimized fragment tolerance is unresolved: the protocol reports 250 ppm and the author SDRF 300 ppm. The structured fragment field records the deposited initial setting. Search specificity is C-terminal K/R with an empty proline-exclusion field (Trypsin/P); sample preparation uses Lys-C and trypsin. The configuration confirms fixed C-carbamidomethylation 57.02146 Da and variable M-oxidation and protein N-terminal acetylation.	Agent-assisted curation using Codex and sdrf-skills. Sample and replicate mapping: deposited 4566_sdrf.tsv; search settings: fragger.params; instrument and acquisition-method names: all 12 RAW headers. Biology: preprint https://doi.org/10.1101/2025.07.03.662926 , which explicitly lists PXD064333. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD064333 . No exact Cellosaurus match was found for laboratory line cMB664. The 12 calibrated mzML files are derivatives of these 12 RAW acquisitions, not additional runs.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	WT
PXD064333_WT_S05	Mus musculus	embryo	embryonic stem cell	ADNP-3xFLAG-V5, cMB664	not available	not available	normal	embryo stage	not available	129 x C57BL/6	2	WT	not pooled	PXD064333_L3_241201_Vyt_4566_WT_S05	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	20 ppm	0.6 Da	1	1	L3_241201_Vyt_4566_WT_S05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/07/PXD064333/L3_241201_Vyt_4566_WT_S05.raw	WT_S05	ADNP-3xFLAG-V5, cMB664	Immunoprecipitation proteomics of laboratory mouse embryonic stem-cell lines on the study-reported 129 x C57BL/6 background. Neg is the author parental-line control, WT is the tagged ADNP reference, dN is the ADNP N-terminal truncation group and PxVxL is the ADNP motif-mutant group. The author cell-line descriptions name group-level clone rosters; no particular clone is assigned to a replicate. The ADNP-3xFLAG-V5 wording is retained from the deposited sample table; the preprint uses ADNP-Avi-3xFLAG, so tag identity is not independently harmonized.	Deposited fragger.params: precursor search -20 to +20 ppm, initial fragment tolerance 0.6 Da, automatic mass calibration/parameter optimization enabled (calibrate_mass=2). Final optimized fragment tolerance is unresolved: the protocol reports 250 ppm and the author SDRF 300 ppm. The structured fragment field records the deposited initial setting. Search specificity is C-terminal K/R with an empty proline-exclusion field (Trypsin/P); sample preparation uses Lys-C and trypsin. The configuration confirms fixed C-carbamidomethylation 57.02146 Da and variable M-oxidation and protein N-terminal acetylation.	Agent-assisted curation using Codex and sdrf-skills. Sample and replicate mapping: deposited 4566_sdrf.tsv; search settings: fragger.params; instrument and acquisition-method names: all 12 RAW headers. Biology: preprint https://doi.org/10.1101/2025.07.03.662926 , which explicitly lists PXD064333. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD064333 . No exact Cellosaurus match was found for laboratory line cMB664. The 12 calibrated mzML files are derivatives of these 12 RAW acquisitions, not additional runs.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	WT
PXD064333_WT_S06	Mus musculus	embryo	embryonic stem cell	ADNP-3xFLAG-V5, cMB664	not available	not available	normal	embryo stage	not available	129 x C57BL/6	3	WT	not pooled	PXD064333_L3_241201_Vyt_4566_WT_S06	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	20 ppm	0.6 Da	1	1	L3_241201_Vyt_4566_WT_S06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/07/PXD064333/L3_241201_Vyt_4566_WT_S06.raw	WT_S06	ADNP-3xFLAG-V5, cMB664	Immunoprecipitation proteomics of laboratory mouse embryonic stem-cell lines on the study-reported 129 x C57BL/6 background. Neg is the author parental-line control, WT is the tagged ADNP reference, dN is the ADNP N-terminal truncation group and PxVxL is the ADNP motif-mutant group. The author cell-line descriptions name group-level clone rosters; no particular clone is assigned to a replicate. The ADNP-3xFLAG-V5 wording is retained from the deposited sample table; the preprint uses ADNP-Avi-3xFLAG, so tag identity is not independently harmonized.	Deposited fragger.params: precursor search -20 to +20 ppm, initial fragment tolerance 0.6 Da, automatic mass calibration/parameter optimization enabled (calibrate_mass=2). Final optimized fragment tolerance is unresolved: the protocol reports 250 ppm and the author SDRF 300 ppm. The structured fragment field records the deposited initial setting. Search specificity is C-terminal K/R with an empty proline-exclusion field (Trypsin/P); sample preparation uses Lys-C and trypsin. The configuration confirms fixed C-carbamidomethylation 57.02146 Da and variable M-oxidation and protein N-terminal acetylation.	Agent-assisted curation using Codex and sdrf-skills. Sample and replicate mapping: deposited 4566_sdrf.tsv; search settings: fragger.params; instrument and acquisition-method names: all 12 RAW headers. Biology: preprint https://doi.org/10.1101/2025.07.03.662926 , which explicitly lists PXD064333. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD064333 . No exact Cellosaurus match was found for laboratory line cMB664. The 12 calibrated mzML files are derivatives of these 12 RAW acquisitions, not additional runs.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	WT
PXD064333_dN_S07	Mus musculus	embryo	embryonic stem cell	ADNP-3xFLAG-V5, 9-1108 truncation, derived from cMB664, clones 12A, 4D, 8F	not available	not available	normal	embryo stage	not available	129 x C57BL/6	1	dN	not pooled	PXD064333_L3_241201_Vyt_4566_dN_S07	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	20 ppm	0.6 Da	1	1	L3_241201_Vyt_4566_dN_S07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/07/PXD064333/L3_241201_Vyt_4566_dN_S07.raw	dN_S07	ADNP-3xFLAG-V5, 9-1108 truncation, derived from cMB664, clones 12A, 4D, 8F	Immunoprecipitation proteomics of laboratory mouse embryonic stem-cell lines on the study-reported 129 x C57BL/6 background. Neg is the author parental-line control, WT is the tagged ADNP reference, dN is the ADNP N-terminal truncation group and PxVxL is the ADNP motif-mutant group. The author cell-line descriptions name group-level clone rosters; no particular clone is assigned to a replicate. The ADNP-3xFLAG-V5 wording is retained from the deposited sample table; the preprint uses ADNP-Avi-3xFLAG, so tag identity is not independently harmonized.	Deposited fragger.params: precursor search -20 to +20 ppm, initial fragment tolerance 0.6 Da, automatic mass calibration/parameter optimization enabled (calibrate_mass=2). Final optimized fragment tolerance is unresolved: the protocol reports 250 ppm and the author SDRF 300 ppm. The structured fragment field records the deposited initial setting. Search specificity is C-terminal K/R with an empty proline-exclusion field (Trypsin/P); sample preparation uses Lys-C and trypsin. The configuration confirms fixed C-carbamidomethylation 57.02146 Da and variable M-oxidation and protein N-terminal acetylation.	Agent-assisted curation using Codex and sdrf-skills. Sample and replicate mapping: deposited 4566_sdrf.tsv; search settings: fragger.params; instrument and acquisition-method names: all 12 RAW headers. Biology: preprint https://doi.org/10.1101/2025.07.03.662926 , which explicitly lists PXD064333. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD064333 . No exact Cellosaurus match was found for laboratory line cMB664. The 12 calibrated mzML files are derivatives of these 12 RAW acquisitions, not additional runs.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	dN
PXD064333_dN_S08	Mus musculus	embryo	embryonic stem cell	ADNP-3xFLAG-V5, 9-1108 truncation, derived from cMB664, clones 12A, 4D, 8F	not available	not available	normal	embryo stage	not available	129 x C57BL/6	2	dN	not pooled	PXD064333_L3_241201_Vyt_4566_dN_S08	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	20 ppm	0.6 Da	1	1	L3_241201_Vyt_4566_dN_S08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/07/PXD064333/L3_241201_Vyt_4566_dN_S08.raw	dN_S08	ADNP-3xFLAG-V5, 9-1108 truncation, derived from cMB664, clones 12A, 4D, 8F	Immunoprecipitation proteomics of laboratory mouse embryonic stem-cell lines on the study-reported 129 x C57BL/6 background. Neg is the author parental-line control, WT is the tagged ADNP reference, dN is the ADNP N-terminal truncation group and PxVxL is the ADNP motif-mutant group. The author cell-line descriptions name group-level clone rosters; no particular clone is assigned to a replicate. The ADNP-3xFLAG-V5 wording is retained from the deposited sample table; the preprint uses ADNP-Avi-3xFLAG, so tag identity is not independently harmonized.	Deposited fragger.params: precursor search -20 to +20 ppm, initial fragment tolerance 0.6 Da, automatic mass calibration/parameter optimization enabled (calibrate_mass=2). Final optimized fragment tolerance is unresolved: the protocol reports 250 ppm and the author SDRF 300 ppm. The structured fragment field records the deposited initial setting. Search specificity is C-terminal K/R with an empty proline-exclusion field (Trypsin/P); sample preparation uses Lys-C and trypsin. The configuration confirms fixed C-carbamidomethylation 57.02146 Da and variable M-oxidation and protein N-terminal acetylation.	Agent-assisted curation using Codex and sdrf-skills. Sample and replicate mapping: deposited 4566_sdrf.tsv; search settings: fragger.params; instrument and acquisition-method names: all 12 RAW headers. Biology: preprint https://doi.org/10.1101/2025.07.03.662926 , which explicitly lists PXD064333. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD064333 . No exact Cellosaurus match was found for laboratory line cMB664. The 12 calibrated mzML files are derivatives of these 12 RAW acquisitions, not additional runs.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	dN
PXD064333_dN_S09	Mus musculus	embryo	embryonic stem cell	ADNP-3xFLAG-V5, 9-1108 truncation, derived from cMB664, clones 12A, 4D, 8F	not available	not available	normal	embryo stage	not available	129 x C57BL/6	3	dN	not pooled	PXD064333_L3_241201_Vyt_4566_dN_S09	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	20 ppm	0.6 Da	1	1	L3_241201_Vyt_4566_dN_S09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/07/PXD064333/L3_241201_Vyt_4566_dN_S09.raw	dN_S09	ADNP-3xFLAG-V5, 9-1108 truncation, derived from cMB664, clones 12A, 4D, 8F	Immunoprecipitation proteomics of laboratory mouse embryonic stem-cell lines on the study-reported 129 x C57BL/6 background. Neg is the author parental-line control, WT is the tagged ADNP reference, dN is the ADNP N-terminal truncation group and PxVxL is the ADNP motif-mutant group. The author cell-line descriptions name group-level clone rosters; no particular clone is assigned to a replicate. The ADNP-3xFLAG-V5 wording is retained from the deposited sample table; the preprint uses ADNP-Avi-3xFLAG, so tag identity is not independently harmonized.	Deposited fragger.params: precursor search -20 to +20 ppm, initial fragment tolerance 0.6 Da, automatic mass calibration/parameter optimization enabled (calibrate_mass=2). Final optimized fragment tolerance is unresolved: the protocol reports 250 ppm and the author SDRF 300 ppm. The structured fragment field records the deposited initial setting. Search specificity is C-terminal K/R with an empty proline-exclusion field (Trypsin/P); sample preparation uses Lys-C and trypsin. The configuration confirms fixed C-carbamidomethylation 57.02146 Da and variable M-oxidation and protein N-terminal acetylation.	Agent-assisted curation using Codex and sdrf-skills. Sample and replicate mapping: deposited 4566_sdrf.tsv; search settings: fragger.params; instrument and acquisition-method names: all 12 RAW headers. Biology: preprint https://doi.org/10.1101/2025.07.03.662926 , which explicitly lists PXD064333. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD064333 . No exact Cellosaurus match was found for laboratory line cMB664. The 12 calibrated mzML files are derivatives of these 12 RAW acquisitions, not additional runs.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	dN
PXD064333_PxVxL_S10	Mus musculus	embryo	embryonic stem cell	ADNP-3xFLAG-V5, PxVxL mutant, derived from cMB664, clones 10B, 5D, 8F	not available	not available	normal	embryo stage	not available	129 x C57BL/6	1	PxVxL	not pooled	PXD064333_L3_241201_Vyt_4566_PxVxL_S10	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	20 ppm	0.6 Da	1	1	L3_241201_Vyt_4566_PxVxL_S10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/07/PXD064333/L3_241201_Vyt_4566_PxVxL_S10.raw	PxVxL_S10	ADNP-3xFLAG-V5, PxVxL mutant, derived from cMB664, clones 10B, 5D, 8F	Immunoprecipitation proteomics of laboratory mouse embryonic stem-cell lines on the study-reported 129 x C57BL/6 background. Neg is the author parental-line control, WT is the tagged ADNP reference, dN is the ADNP N-terminal truncation group and PxVxL is the ADNP motif-mutant group. The author cell-line descriptions name group-level clone rosters; no particular clone is assigned to a replicate. The ADNP-3xFLAG-V5 wording is retained from the deposited sample table; the preprint uses ADNP-Avi-3xFLAG, so tag identity is not independently harmonized.	Deposited fragger.params: precursor search -20 to +20 ppm, initial fragment tolerance 0.6 Da, automatic mass calibration/parameter optimization enabled (calibrate_mass=2). Final optimized fragment tolerance is unresolved: the protocol reports 250 ppm and the author SDRF 300 ppm. The structured fragment field records the deposited initial setting. Search specificity is C-terminal K/R with an empty proline-exclusion field (Trypsin/P); sample preparation uses Lys-C and trypsin. The configuration confirms fixed C-carbamidomethylation 57.02146 Da and variable M-oxidation and protein N-terminal acetylation.	Agent-assisted curation using Codex and sdrf-skills. Sample and replicate mapping: deposited 4566_sdrf.tsv; search settings: fragger.params; instrument and acquisition-method names: all 12 RAW headers. Biology: preprint https://doi.org/10.1101/2025.07.03.662926 , which explicitly lists PXD064333. Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD064333 . No exact Cellosaurus match was found for laboratory line cMB664. The 12 calibrated mzML files are derivatives of these 12 RAW acquisitions, not additional runs.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	PxVxL
