source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[biological replicate]	characteristics[genotype]	characteristics[pooled sample]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[original sample identifier]	comment[sample description]	comment[search parameter source]	comment[annotation provenance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[annotation provenance]	factor value[genotype]
PXD064620_s1	Mus musculus	corpus callosum	not applicable	adult	male	1	Plp1TM117KO	not pooled	PXD064620_4264_11-7-2022_Gaspari_15192_DIA_140min_3ul_RB1	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000628	not available	not available	400	1200	25	1	1	4264_11-7-2022_Gaspari_15192_DIA_140min_3ul_RB1.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD064620/4264_11-7-2022_Gaspari_15192_DIA_140min_3ul_RB1.d.zip	15192	Individual male mouse corpus callosum; biological replicate within the archived search condition. Conditional Tmem117 knockout.	Samples were digested with trypsin. Trypsin/P search specificity and fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation follow the archive data-processing protocol for the DDA library. The deposited DIA setup links all eight runs to that library and records Spectronaut 16.3.221108.53000 with dynamic MS1/MS2 extraction tolerances; it does not enumerate library-search modifications. No single fixed mass tolerance is assigned. The author SDRF incorrectly labels carbamidomethylation Variable.	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	Plp1TM117KO
PXD064620_s3	Mus musculus	corpus callosum	not applicable	adult	male	2	Plp1TM117KO	not pooled	PXD064620_4265_11-7-2022_Gaspari_15193_DIA_140min_3ul_RB2	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000628	not available	not available	400	1200	25	1	1	4265_11-7-2022_Gaspari_15193_DIA_140min_3ul_RB2.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD064620/4265_11-7-2022_Gaspari_15193_DIA_140min_3ul_RB2.d.zip	15193	Individual male mouse corpus callosum; biological replicate within the archived search condition. Conditional Tmem117 knockout.	Samples were digested with trypsin. Trypsin/P search specificity and fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation follow the archive data-processing protocol for the DDA library. The deposited DIA setup links all eight runs to that library and records Spectronaut 16.3.221108.53000 with dynamic MS1/MS2 extraction tolerances; it does not enumerate library-search modifications. No single fixed mass tolerance is assigned. The author SDRF incorrectly labels carbamidomethylation Variable.	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	Plp1TM117KO
PXD064620_s4	Mus musculus	corpus callosum	not applicable	adult	male	3	Plp1TM117KO	not pooled	PXD064620_4266_11-7-2022_Gaspari_15194_DIA_140min_3ul_RB3	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000628	not available	not available	400	1200	25	1	1	4266_11-7-2022_Gaspari_15194_DIA_140min_3ul_RB3.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD064620/4266_11-7-2022_Gaspari_15194_DIA_140min_3ul_RB3.d.zip	15194	Individual male mouse corpus callosum; biological replicate within the archived search condition. Conditional Tmem117 knockout.	Samples were digested with trypsin. Trypsin/P search specificity and fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation follow the archive data-processing protocol for the DDA library. The deposited DIA setup links all eight runs to that library and records Spectronaut 16.3.221108.53000 with dynamic MS1/MS2 extraction tolerances; it does not enumerate library-search modifications. No single fixed mass tolerance is assigned. The author SDRF incorrectly labels carbamidomethylation Variable.	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	Plp1TM117KO
PXD064620_s6	Mus musculus	corpus callosum	not applicable	adult	male	4	Plp1TM117KO	not pooled	PXD064620_4267_11-7-2022_Gaspari_15195_DIA_140min_3ul_RB4	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000628	not available	not available	400	1200	25	1	1	4267_11-7-2022_Gaspari_15195_DIA_140min_3ul_RB4.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD064620/4267_11-7-2022_Gaspari_15195_DIA_140min_3ul_RB4.d.zip	15195	Individual male mouse corpus callosum; biological replicate within the archived search condition. Conditional Tmem117 knockout.	Samples were digested with trypsin. Trypsin/P search specificity and fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation follow the archive data-processing protocol for the DDA library. The deposited DIA setup links all eight runs to that library and records Spectronaut 16.3.221108.53000 with dynamic MS1/MS2 extraction tolerances; it does not enumerate library-search modifications. No single fixed mass tolerance is assigned. The author SDRF incorrectly labels carbamidomethylation Variable.	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	Plp1TM117KO
PXD064620_s8	Mus musculus	corpus callosum	not applicable	adult	male	1	Plp1TM117WT	not pooled	PXD064620_4270_11-7-2022_Gaspari_15196_DIA_140min_3ul_RB5	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000628	not available	not available	400	1200	25	1	1	4270_11-7-2022_Gaspari_15196_DIA_140min_3ul_RB5.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD064620/4270_11-7-2022_Gaspari_15196_DIA_140min_3ul_RB5.d.zip	15196	Individual male mouse corpus callosum; biological replicate within the archived search condition. Author label Plp1TM117WT denotes the floxed control littermate group called Plp1TM117FL in the publication; it does not establish a wild-type Tmem117 allele.	Samples were digested with trypsin. Trypsin/P search specificity and fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation follow the archive data-processing protocol for the DDA library. The deposited DIA setup links all eight runs to that library and records Spectronaut 16.3.221108.53000 with dynamic MS1/MS2 extraction tolerances; it does not enumerate library-search modifications. No single fixed mass tolerance is assigned. The author SDRF incorrectly labels carbamidomethylation Variable.	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	Plp1TM117WT
PXD064620_s9	Mus musculus	corpus callosum	not applicable	adult	male	2	Plp1TM117WT	not pooled	PXD064620_4271_11-8-2022_Gaspari_15197_DIA_140min_3ul_RB6	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000628	not available	not available	400	1200	25	1	1	4271_11-8-2022_Gaspari_15197_DIA_140min_3ul_RB6.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD064620/4271_11-8-2022_Gaspari_15197_DIA_140min_3ul_RB6.d.zip	15197	Individual male mouse corpus callosum; biological replicate within the archived search condition. Author label Plp1TM117WT denotes the floxed control littermate group called Plp1TM117FL in the publication; it does not establish a wild-type Tmem117 allele.	Samples were digested with trypsin. Trypsin/P search specificity and fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation follow the archive data-processing protocol for the DDA library. The deposited DIA setup links all eight runs to that library and records Spectronaut 16.3.221108.53000 with dynamic MS1/MS2 extraction tolerances; it does not enumerate library-search modifications. No single fixed mass tolerance is assigned. The author SDRF incorrectly labels carbamidomethylation Variable.	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	Plp1TM117WT
PXD064620_s10	Mus musculus	corpus callosum	not applicable	adult	male	3	Plp1TM117WT	not pooled	PXD064620_4272_11-8-2022_Gaspari_15198_DIA_140min_3ul_RB7	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000628	not available	not available	400	1200	25	1	1	4272_11-8-2022_Gaspari_15198_DIA_140min_3ul_RB7.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD064620/4272_11-8-2022_Gaspari_15198_DIA_140min_3ul_RB7.d.zip	15198	Individual male mouse corpus callosum; biological replicate within the archived search condition. Author label Plp1TM117WT denotes the floxed control littermate group called Plp1TM117FL in the publication; it does not establish a wild-type Tmem117 allele.	Samples were digested with trypsin. Trypsin/P search specificity and fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation follow the archive data-processing protocol for the DDA library. The deposited DIA setup links all eight runs to that library and records Spectronaut 16.3.221108.53000 with dynamic MS1/MS2 extraction tolerances; it does not enumerate library-search modifications. No single fixed mass tolerance is assigned. The author SDRF incorrectly labels carbamidomethylation Variable.	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	Plp1TM117WT
PXD064620_s11	Mus musculus	corpus callosum	not applicable	adult	male	4	Plp1TM117WT	not pooled	PXD064620_4273_11-8-2022_Gaspari_15199_DIA_140min_3ul_RB8	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000628	not available	not available	400	1200	25	1	1	4273_11-8-2022_Gaspari_15199_DIA_140min_3ul_RB8.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD064620/4273_11-8-2022_Gaspari_15199_DIA_140min_3ul_RB8.d.zip	15199	Individual male mouse corpus callosum; biological replicate within the archived search condition. Author label Plp1TM117WT denotes the floxed control littermate group called Plp1TM117FL in the publication; it does not establish a wild-type Tmem117 allele.	Samples were digested with trypsin. Trypsin/P search specificity and fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation follow the archive data-processing protocol for the DDA library. The deposited DIA setup links all eight runs to that library and records Spectronaut 16.3.221108.53000 with dynamic MS1/MS2 extraction tolerances; it does not enumerate library-search modifications. No single fixed mass tolerance is assigned. The author SDRF incorrectly labels carbamidomethylation Variable.	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	Plp1TM117WT
PXD064620_pool_15216	Mus musculus	corpus callosum	not applicable	adult	male	pooled	pooled Plp1TM117KO and Plp1TM117WT	pooled	PXD064620_4275_11-8-2022_Gaspari_15216_RPB-7-5_140min_3ul_RC1	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not applicable	not applicable	not applicable	1	1	4275_11-8-2022_Gaspari_15216_RPB-7-5_140min_3ul_RC1.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD064620/4275_11-8-2022_Gaspari_15216_RPB-7-5_140min_3ul_RC1.d.zip	15216	Spectral-library DDA of high-pH reversed-phase fraction 1 from one pool of aliquots of all eight study samples (LIMS 15192-15199). The six fractions share a single pooled source and are not additional biological replicates.	Samples were digested with trypsin. Trypsin/P search specificity and fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation follow the archive data-processing protocol for the DDA library. The deposited DIA setup links all eight runs to that library and records Spectronaut 16.3.221108.53000 with dynamic MS1/MS2 extraction tolerances; it does not enumerate library-search modifications. No single fixed mass tolerance is assigned. The author SDRF incorrectly labels carbamidomethylation Variable.	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	pooled Plp1TM117KO and Plp1TM117WT
PXD064620_pool_15216	Mus musculus	corpus callosum	not applicable	adult	male	pooled	pooled Plp1TM117KO and Plp1TM117WT	pooled	PXD064620_4276_11-8-2022_Gaspari_15216_RPB-10_140min_3ul_RC2	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not applicable	not applicable	not applicable	2	1	4276_11-8-2022_Gaspari_15216_RPB-10_140min_3ul_RC2.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD064620/4276_11-8-2022_Gaspari_15216_RPB-10_140min_3ul_RC2.d.zip	15216	Spectral-library DDA of high-pH reversed-phase fraction 2 from one pool of aliquots of all eight study samples (LIMS 15192-15199). The six fractions share a single pooled source and are not additional biological replicates.	Samples were digested with trypsin. Trypsin/P search specificity and fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation follow the archive data-processing protocol for the DDA library. The deposited DIA setup links all eight runs to that library and records Spectronaut 16.3.221108.53000 with dynamic MS1/MS2 extraction tolerances; it does not enumerate library-search modifications. No single fixed mass tolerance is assigned. The author SDRF incorrectly labels carbamidomethylation Variable.	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Sample and genotype mapping: author Samples_conditions_files.xlsx (eight mice plus six fractions of their pooled library sample 15216). Biological replicate numbers restart per genotype. Corpus callosum and adult male cohort: PMC13506024. Search enzyme specificity, modifications and dynamic mass calibration: PRIDE data-processing protocol; no fixed mass tolerance is asserted.	pooled Plp1TM117KO and Plp1TM117WT
