source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[biological replicate]	characteristics[condition]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[lcm microscope model]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[archive file]	comment[archive member path]	comment[annotation provenance]	factor value[condition]
PXD066993_control_1	Mus musculus	endocardium	normal	adult	C57BL/6NRj	female	endocardial cell	tissue	study sample	laser capture microdissection	1	control endocardium	Olive_20230522_JoN_Hstdia_P10E01_control_region1_C3_1_2035	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Olive_20230522_JoN_Hstdia_P10E01_control_region1_C3_1_2035.d	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD066993/RAW_files.zip	1	label free sample	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	15 ppm	15 ppm	Leica LMD7	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	RAW_files.zip	Olive_20230522_JoN_Hstdia_P10E01_control_region1_C3_1_2035.d/	Author Masterfile.xlsx supplies 11 native acquisition names, verified against all 11 analysis.tdf directories in RAW_files.zip. Its Heart_Condition/Heart_Region values are shifted; corrected using the explicit control/IZ/remote filename labels and Figure 5 of PMC12520975 (3/4/4 biological replicates). Replicate indices are local to each condition; no cross-region mouse pairing is asserted. Cohort: female C57BL/6NRj, 10-12 weeks; paper Methods. Search tolerances: PRIDE data-processing protocol, DIA-NN 1.8.2.	control endocardium
PXD066993_control_2	Mus musculus	endocardium	normal	adult	C57BL/6NRj	female	endocardial cell	tissue	study sample	laser capture microdissection	2	control endocardium	Olive_20230522_JoN_Hstdia_P10E01_control_region2_C4_1_2038	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Olive_20230522_JoN_Hstdia_P10E01_control_region2_C4_1_2038.d	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD066993/RAW_files.zip	1	label free sample	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	15 ppm	15 ppm	Leica LMD7	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	RAW_files.zip	Olive_20230522_JoN_Hstdia_P10E01_control_region2_C4_1_2038.d/	Author Masterfile.xlsx supplies 11 native acquisition names, verified against all 11 analysis.tdf directories in RAW_files.zip. Its Heart_Condition/Heart_Region values are shifted; corrected using the explicit control/IZ/remote filename labels and Figure 5 of PMC12520975 (3/4/4 biological replicates). Replicate indices are local to each condition; no cross-region mouse pairing is asserted. Cohort: female C57BL/6NRj, 10-12 weeks; paper Methods. Search tolerances: PRIDE data-processing protocol, DIA-NN 1.8.2.	control endocardium
PXD066993_control_3	Mus musculus	endocardium	normal	adult	C57BL/6NRj	female	endocardial cell	tissue	study sample	laser capture microdissection	3	control endocardium	Olive_20230522_JoN_Hstdia_P10E01_control_region3_C5_1_2042	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Olive_20230522_JoN_Hstdia_P10E01_control_region3_C5_1_2042.d	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD066993/RAW_files.zip	1	label free sample	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	15 ppm	15 ppm	Leica LMD7	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	RAW_files.zip	Olive_20230522_JoN_Hstdia_P10E01_control_region3_C5_1_2042.d/	Author Masterfile.xlsx supplies 11 native acquisition names, verified against all 11 analysis.tdf directories in RAW_files.zip. Its Heart_Condition/Heart_Region values are shifted; corrected using the explicit control/IZ/remote filename labels and Figure 5 of PMC12520975 (3/4/4 biological replicates). Replicate indices are local to each condition; no cross-region mouse pairing is asserted. Cohort: female C57BL/6NRj, 10-12 weeks; paper Methods. Search tolerances: PRIDE data-processing protocol, DIA-NN 1.8.2.	control endocardium
PXD066993_IZ_1	Mus musculus	endocardium	myocardial infarction	adult	C57BL/6NRj	female	endocardial cell	tissue	study sample	laser capture microdissection	1	myocardial infarction - infarct-zone endocardium	Olive_20230522_JoN_Hstdia_P10E01_IZ_region1_D4_1_2036	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Olive_20230522_JoN_Hstdia_P10E01_IZ_region1_D4_1_2036.d	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD066993/RAW_files.zip	1	label free sample	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	15 ppm	15 ppm	Leica LMD7	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	RAW_files.zip	Olive_20230522_JoN_Hstdia_P10E01_IZ_region1_D4_1_2036.d/	Author Masterfile.xlsx supplies 11 native acquisition names, verified against all 11 analysis.tdf directories in RAW_files.zip. Its Heart_Condition/Heart_Region values are shifted; corrected using the explicit control/IZ/remote filename labels and Figure 5 of PMC12520975 (3/4/4 biological replicates). Replicate indices are local to each condition; no cross-region mouse pairing is asserted. Cohort: female C57BL/6NRj, 10-12 weeks; paper Methods. Search tolerances: PRIDE data-processing protocol, DIA-NN 1.8.2.	myocardial infarction - infarct-zone endocardium
PXD066993_IZ_2	Mus musculus	endocardium	myocardial infarction	adult	C57BL/6NRj	female	endocardial cell	tissue	study sample	laser capture microdissection	2	myocardial infarction - infarct-zone endocardium	Olive_20230522_JoN_Hstdia_P10E01_IZ_region2_D5_1_2039	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Olive_20230522_JoN_Hstdia_P10E01_IZ_region2_D5_1_2039.d	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD066993/RAW_files.zip	1	label free sample	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	15 ppm	15 ppm	Leica LMD7	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	RAW_files.zip	Olive_20230522_JoN_Hstdia_P10E01_IZ_region2_D5_1_2039.d/	Author Masterfile.xlsx supplies 11 native acquisition names, verified against all 11 analysis.tdf directories in RAW_files.zip. Its Heart_Condition/Heart_Region values are shifted; corrected using the explicit control/IZ/remote filename labels and Figure 5 of PMC12520975 (3/4/4 biological replicates). Replicate indices are local to each condition; no cross-region mouse pairing is asserted. Cohort: female C57BL/6NRj, 10-12 weeks; paper Methods. Search tolerances: PRIDE data-processing protocol, DIA-NN 1.8.2.	myocardial infarction - infarct-zone endocardium
PXD066993_IZ_3	Mus musculus	endocardium	myocardial infarction	adult	C57BL/6NRj	female	endocardial cell	tissue	study sample	laser capture microdissection	3	myocardial infarction - infarct-zone endocardium	Olive_20230522_JoN_Hstdia_P10E01_IZ_region3_D6_1_2043	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Olive_20230522_JoN_Hstdia_P10E01_IZ_region3_D6_1_2043.d	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD066993/RAW_files.zip	1	label free sample	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	15 ppm	15 ppm	Leica LMD7	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	RAW_files.zip	Olive_20230522_JoN_Hstdia_P10E01_IZ_region3_D6_1_2043.d/	Author Masterfile.xlsx supplies 11 native acquisition names, verified against all 11 analysis.tdf directories in RAW_files.zip. Its Heart_Condition/Heart_Region values are shifted; corrected using the explicit control/IZ/remote filename labels and Figure 5 of PMC12520975 (3/4/4 biological replicates). Replicate indices are local to each condition; no cross-region mouse pairing is asserted. Cohort: female C57BL/6NRj, 10-12 weeks; paper Methods. Search tolerances: PRIDE data-processing protocol, DIA-NN 1.8.2.	myocardial infarction - infarct-zone endocardium
PXD066993_IZ_4	Mus musculus	endocardium	myocardial infarction	adult	C57BL/6NRj	female	endocardial cell	tissue	study sample	laser capture microdissection	4	myocardial infarction - infarct-zone endocardium	Olive_20230522_JoN_Hstdia_P10E01_IZ_region4_D3_1_2045	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Olive_20230522_JoN_Hstdia_P10E01_IZ_region4_D3_1_2045.d	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD066993/RAW_files.zip	1	label free sample	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	15 ppm	15 ppm	Leica LMD7	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	RAW_files.zip	Olive_20230522_JoN_Hstdia_P10E01_IZ_region4_D3_1_2045.d/	Author Masterfile.xlsx supplies 11 native acquisition names, verified against all 11 analysis.tdf directories in RAW_files.zip. Its Heart_Condition/Heart_Region values are shifted; corrected using the explicit control/IZ/remote filename labels and Figure 5 of PMC12520975 (3/4/4 biological replicates). Replicate indices are local to each condition; no cross-region mouse pairing is asserted. Cohort: female C57BL/6NRj, 10-12 weeks; paper Methods. Search tolerances: PRIDE data-processing protocol, DIA-NN 1.8.2.	myocardial infarction - infarct-zone endocardium
PXD066993_remote_1	Mus musculus	endocardium	myocardial infarction	adult	C57BL/6NRj	female	endocardial cell	tissue	study sample	laser capture microdissection	1	myocardial infarction - remote endocardium	Olive_20230522_JoN_Hstdia_P10E01_remote_region_1_E5_1_2037	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Olive_20230522_JoN_Hstdia_P10E01_remote_region_1_E5_1_2037.d	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD066993/RAW_files.zip	1	label free sample	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	15 ppm	15 ppm	Leica LMD7	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	RAW_files.zip	Olive_20230522_JoN_Hstdia_P10E01_remote_region_1_E5_1_2037.d/	Author Masterfile.xlsx supplies 11 native acquisition names, verified against all 11 analysis.tdf directories in RAW_files.zip. Its Heart_Condition/Heart_Region values are shifted; corrected using the explicit control/IZ/remote filename labels and Figure 5 of PMC12520975 (3/4/4 biological replicates). Replicate indices are local to each condition; no cross-region mouse pairing is asserted. Cohort: female C57BL/6NRj, 10-12 weeks; paper Methods. Search tolerances: PRIDE data-processing protocol, DIA-NN 1.8.2.	myocardial infarction - remote endocardium
PXD066993_remote_2	Mus musculus	endocardium	myocardial infarction	adult	C57BL/6NRj	female	endocardial cell	tissue	study sample	laser capture microdissection	2	myocardial infarction - remote endocardium	Olive_20230522_JoN_Hstdia_P10E01_remote_region_2_E4_1_2040	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Olive_20230522_JoN_Hstdia_P10E01_remote_region_2_E4_1_2040.d	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD066993/RAW_files.zip	1	label free sample	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	15 ppm	15 ppm	Leica LMD7	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	RAW_files.zip	Olive_20230522_JoN_Hstdia_P10E01_remote_region_2_E4_1_2040.d/	Author Masterfile.xlsx supplies 11 native acquisition names, verified against all 11 analysis.tdf directories in RAW_files.zip. Its Heart_Condition/Heart_Region values are shifted; corrected using the explicit control/IZ/remote filename labels and Figure 5 of PMC12520975 (3/4/4 biological replicates). Replicate indices are local to each condition; no cross-region mouse pairing is asserted. Cohort: female C57BL/6NRj, 10-12 weeks; paper Methods. Search tolerances: PRIDE data-processing protocol, DIA-NN 1.8.2.	myocardial infarction - remote endocardium
PXD066993_remote_3	Mus musculus	endocardium	myocardial infarction	adult	C57BL/6NRj	female	endocardial cell	tissue	study sample	laser capture microdissection	3	myocardial infarction - remote endocardium	Olive_20230522_JoN_Hstdia_P10E01_remote_region_3_E3_1_2044	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Olive_20230522_JoN_Hstdia_P10E01_remote_region_3_E3_1_2044.d	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD066993/RAW_files.zip	1	label free sample	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	15 ppm	15 ppm	Leica LMD7	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	RAW_files.zip	Olive_20230522_JoN_Hstdia_P10E01_remote_region_3_E3_1_2044.d/	Author Masterfile.xlsx supplies 11 native acquisition names, verified against all 11 analysis.tdf directories in RAW_files.zip. Its Heart_Condition/Heart_Region values are shifted; corrected using the explicit control/IZ/remote filename labels and Figure 5 of PMC12520975 (3/4/4 biological replicates). Replicate indices are local to each condition; no cross-region mouse pairing is asserted. Cohort: female C57BL/6NRj, 10-12 weeks; paper Methods. Search tolerances: PRIDE data-processing protocol, DIA-NN 1.8.2.	myocardial infarction - remote endocardium
