source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[strain or breed]	characteristics[sex]	characteristics[biological replicate]	characteristics[treatment]	characteristics[treatment protocol]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[search enzyme]	comment[missed cleavages]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[faims compensation voltage]	comment[data file]	comment[file uri]	comment[original data file]	comment[parent file sha1]	comment[original assay name]	comment[original sample identifier]	comment[original fraction identifier]	comment[sample description]	comment[search protocol]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
PXD070160_non-tolerant_1	Rattus norvegicus	blood	blood cell	adult	not available	not available	not available	1	non-tolerant	Matched donor procedure without tourniquet application; secretome collected ex vivo from the resulting mixed blood cells	PXD070160_run_1_CV-40	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not available	2	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	2 ppm	10 ppm	1	1	-40 V	20240427_RatSec_con1_-40.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD070160/20240427_RatSec_con1_-40.mzXML	20240427_RatSec_con1.raw	450adf3a4cab3a492734d5a5a3b7410981c51ca6	run 1	sample 1	1	Ex vivo secretome released by mixed rat blood cells in artificial plasma; plasma was removed before cell incubation and the analysed supernatant retained exosomes and microparticles. Blood and blood cell describe the biological origin, not an intact-cell lysate. Tolerant and non-tolerant are author condition labels for RIC-primed and sham donor preparations. Brain ischemia belongs to the recipient stroke experiment and is not assigned to secretome donors. Source identifies one author condition/biological-replicate preparation, not a newly inferred animal ID. Each original LC-MS acquisition alternated FAIMS -40 and -60 V and was computationally split into two mzXML files. This row identifies one deposited data file, not an independent injection; the paired files share original data file, parent SHA1 and original assay name. Fraction 1 denotes no physical prefractionation; author fraction labels 1/2 are retained only as provenance. Parent SHA1 is declared by mzXML, not recomputed from an unavailable original RAW.	MaxQuant 1.6.17.0 after FAIMS MzXML Generator conversion. Deposited mzTab metadata confirms CAM(C), Ox(M), acetyl(protein N-term), deamidation(N,Q). PRIDE processing protocol specifies 10 ppm first-search and 2 ppm recalibrated main-search precursor tolerances, 10 ppm fragments, and 2 missed cleavages. Actual search-enzyme specificity is not supplied; Trypsin/P is not assumed.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	non-tolerant
PXD070160_non-tolerant_1	Rattus norvegicus	blood	blood cell	adult	not available	not available	not available	1	non-tolerant	Matched donor procedure without tourniquet application; secretome collected ex vivo from the resulting mixed blood cells	PXD070160_run_1_CV-60	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not available	2	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	2 ppm	10 ppm	1	1	-60 V	20240427_RatSec_con1_-60.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD070160/20240427_RatSec_con1_-60.mzXML	20240427_RatSec_con1.raw	450adf3a4cab3a492734d5a5a3b7410981c51ca6	run 1	sample 1	2	Ex vivo secretome released by mixed rat blood cells in artificial plasma; plasma was removed before cell incubation and the analysed supernatant retained exosomes and microparticles. Blood and blood cell describe the biological origin, not an intact-cell lysate. Tolerant and non-tolerant are author condition labels for RIC-primed and sham donor preparations. Brain ischemia belongs to the recipient stroke experiment and is not assigned to secretome donors. Source identifies one author condition/biological-replicate preparation, not a newly inferred animal ID. Each original LC-MS acquisition alternated FAIMS -40 and -60 V and was computationally split into two mzXML files. This row identifies one deposited data file, not an independent injection; the paired files share original data file, parent SHA1 and original assay name. Fraction 1 denotes no physical prefractionation; author fraction labels 1/2 are retained only as provenance. Parent SHA1 is declared by mzXML, not recomputed from an unavailable original RAW.	MaxQuant 1.6.17.0 after FAIMS MzXML Generator conversion. Deposited mzTab metadata confirms CAM(C), Ox(M), acetyl(protein N-term), deamidation(N,Q). PRIDE processing protocol specifies 10 ppm first-search and 2 ppm recalibrated main-search precursor tolerances, 10 ppm fragments, and 2 missed cleavages. Actual search-enzyme specificity is not supplied; Trypsin/P is not assumed.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	non-tolerant
PXD070160_non-tolerant_2	Rattus norvegicus	blood	blood cell	adult	not available	not available	not available	2	non-tolerant	Matched donor procedure without tourniquet application; secretome collected ex vivo from the resulting mixed blood cells	PXD070160_run_2_CV-40	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not available	2	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	2 ppm	10 ppm	1	1	-40 V	20240427_RatSec_con2_-40.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD070160/20240427_RatSec_con2_-40.mzXML	20240427_RatSec_con2.raw	96f7e788f26013ee9d88c8d6315d19e5b640bf4b	run 2	sample 1	1	Ex vivo secretome released by mixed rat blood cells in artificial plasma; plasma was removed before cell incubation and the analysed supernatant retained exosomes and microparticles. Blood and blood cell describe the biological origin, not an intact-cell lysate. Tolerant and non-tolerant are author condition labels for RIC-primed and sham donor preparations. Brain ischemia belongs to the recipient stroke experiment and is not assigned to secretome donors. Source identifies one author condition/biological-replicate preparation, not a newly inferred animal ID. Each original LC-MS acquisition alternated FAIMS -40 and -60 V and was computationally split into two mzXML files. This row identifies one deposited data file, not an independent injection; the paired files share original data file, parent SHA1 and original assay name. Fraction 1 denotes no physical prefractionation; author fraction labels 1/2 are retained only as provenance. Parent SHA1 is declared by mzXML, not recomputed from an unavailable original RAW.	MaxQuant 1.6.17.0 after FAIMS MzXML Generator conversion. Deposited mzTab metadata confirms CAM(C), Ox(M), acetyl(protein N-term), deamidation(N,Q). PRIDE processing protocol specifies 10 ppm first-search and 2 ppm recalibrated main-search precursor tolerances, 10 ppm fragments, and 2 missed cleavages. Actual search-enzyme specificity is not supplied; Trypsin/P is not assumed.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	non-tolerant
PXD070160_non-tolerant_2	Rattus norvegicus	blood	blood cell	adult	not available	not available	not available	2	non-tolerant	Matched donor procedure without tourniquet application; secretome collected ex vivo from the resulting mixed blood cells	PXD070160_run_2_CV-60	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not available	2	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	2 ppm	10 ppm	1	1	-60 V	20240427_RatSec_con2_-60.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD070160/20240427_RatSec_con2_-60.mzXML	20240427_RatSec_con2.raw	96f7e788f26013ee9d88c8d6315d19e5b640bf4b	run 2	sample 1	2	Ex vivo secretome released by mixed rat blood cells in artificial plasma; plasma was removed before cell incubation and the analysed supernatant retained exosomes and microparticles. Blood and blood cell describe the biological origin, not an intact-cell lysate. Tolerant and non-tolerant are author condition labels for RIC-primed and sham donor preparations. Brain ischemia belongs to the recipient stroke experiment and is not assigned to secretome donors. Source identifies one author condition/biological-replicate preparation, not a newly inferred animal ID. Each original LC-MS acquisition alternated FAIMS -40 and -60 V and was computationally split into two mzXML files. This row identifies one deposited data file, not an independent injection; the paired files share original data file, parent SHA1 and original assay name. Fraction 1 denotes no physical prefractionation; author fraction labels 1/2 are retained only as provenance. Parent SHA1 is declared by mzXML, not recomputed from an unavailable original RAW.	MaxQuant 1.6.17.0 after FAIMS MzXML Generator conversion. Deposited mzTab metadata confirms CAM(C), Ox(M), acetyl(protein N-term), deamidation(N,Q). PRIDE processing protocol specifies 10 ppm first-search and 2 ppm recalibrated main-search precursor tolerances, 10 ppm fragments, and 2 missed cleavages. Actual search-enzyme specificity is not supplied; Trypsin/P is not assumed.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	non-tolerant
PXD070160_non-tolerant_3	Rattus norvegicus	blood	blood cell	adult	not available	not available	not available	3	non-tolerant	Matched donor procedure without tourniquet application; secretome collected ex vivo from the resulting mixed blood cells	PXD070160_run_3_CV-40	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not available	2	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	2 ppm	10 ppm	1	1	-40 V	20240427_RatSec_con3_-40.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD070160/20240427_RatSec_con3_-40.mzXML	20240427_RatSec_con3.raw	679d3eb14933d6eb5b7048b0d115479c87b3adb0	run 3	sample 1	1	Ex vivo secretome released by mixed rat blood cells in artificial plasma; plasma was removed before cell incubation and the analysed supernatant retained exosomes and microparticles. Blood and blood cell describe the biological origin, not an intact-cell lysate. Tolerant and non-tolerant are author condition labels for RIC-primed and sham donor preparations. Brain ischemia belongs to the recipient stroke experiment and is not assigned to secretome donors. Source identifies one author condition/biological-replicate preparation, not a newly inferred animal ID. Each original LC-MS acquisition alternated FAIMS -40 and -60 V and was computationally split into two mzXML files. This row identifies one deposited data file, not an independent injection; the paired files share original data file, parent SHA1 and original assay name. Fraction 1 denotes no physical prefractionation; author fraction labels 1/2 are retained only as provenance. Parent SHA1 is declared by mzXML, not recomputed from an unavailable original RAW.	MaxQuant 1.6.17.0 after FAIMS MzXML Generator conversion. Deposited mzTab metadata confirms CAM(C), Ox(M), acetyl(protein N-term), deamidation(N,Q). PRIDE processing protocol specifies 10 ppm first-search and 2 ppm recalibrated main-search precursor tolerances, 10 ppm fragments, and 2 missed cleavages. Actual search-enzyme specificity is not supplied; Trypsin/P is not assumed.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	non-tolerant
PXD070160_non-tolerant_3	Rattus norvegicus	blood	blood cell	adult	not available	not available	not available	3	non-tolerant	Matched donor procedure without tourniquet application; secretome collected ex vivo from the resulting mixed blood cells	PXD070160_run_3_CV-60	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not available	2	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	2 ppm	10 ppm	1	1	-60 V	20240427_RatSec_con3_-60.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD070160/20240427_RatSec_con3_-60.mzXML	20240427_RatSec_con3.raw	679d3eb14933d6eb5b7048b0d115479c87b3adb0	run 3	sample 1	2	Ex vivo secretome released by mixed rat blood cells in artificial plasma; plasma was removed before cell incubation and the analysed supernatant retained exosomes and microparticles. Blood and blood cell describe the biological origin, not an intact-cell lysate. Tolerant and non-tolerant are author condition labels for RIC-primed and sham donor preparations. Brain ischemia belongs to the recipient stroke experiment and is not assigned to secretome donors. Source identifies one author condition/biological-replicate preparation, not a newly inferred animal ID. Each original LC-MS acquisition alternated FAIMS -40 and -60 V and was computationally split into two mzXML files. This row identifies one deposited data file, not an independent injection; the paired files share original data file, parent SHA1 and original assay name. Fraction 1 denotes no physical prefractionation; author fraction labels 1/2 are retained only as provenance. Parent SHA1 is declared by mzXML, not recomputed from an unavailable original RAW.	MaxQuant 1.6.17.0 after FAIMS MzXML Generator conversion. Deposited mzTab metadata confirms CAM(C), Ox(M), acetyl(protein N-term), deamidation(N,Q). PRIDE processing protocol specifies 10 ppm first-search and 2 ppm recalibrated main-search precursor tolerances, 10 ppm fragments, and 2 missed cleavages. Actual search-enzyme specificity is not supplied; Trypsin/P is not assumed.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	non-tolerant
PXD070160_non-tolerant_4	Rattus norvegicus	blood	blood cell	adult	not available	not available	not available	4	non-tolerant	Matched donor procedure without tourniquet application; secretome collected ex vivo from the resulting mixed blood cells	PXD070160_run_4_CV-40	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not available	2	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	2 ppm	10 ppm	1	1	-40 V	20240427_RatSec_con4_-40.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD070160/20240427_RatSec_con4_-40.mzXML	20240427_RatSec_con4.raw	f856be398be750a02114c3245fa743f0c828a35d	run 4	sample 1	1	Ex vivo secretome released by mixed rat blood cells in artificial plasma; plasma was removed before cell incubation and the analysed supernatant retained exosomes and microparticles. Blood and blood cell describe the biological origin, not an intact-cell lysate. Tolerant and non-tolerant are author condition labels for RIC-primed and sham donor preparations. Brain ischemia belongs to the recipient stroke experiment and is not assigned to secretome donors. Source identifies one author condition/biological-replicate preparation, not a newly inferred animal ID. Each original LC-MS acquisition alternated FAIMS -40 and -60 V and was computationally split into two mzXML files. This row identifies one deposited data file, not an independent injection; the paired files share original data file, parent SHA1 and original assay name. Fraction 1 denotes no physical prefractionation; author fraction labels 1/2 are retained only as provenance. Parent SHA1 is declared by mzXML, not recomputed from an unavailable original RAW.	MaxQuant 1.6.17.0 after FAIMS MzXML Generator conversion. Deposited mzTab metadata confirms CAM(C), Ox(M), acetyl(protein N-term), deamidation(N,Q). PRIDE processing protocol specifies 10 ppm first-search and 2 ppm recalibrated main-search precursor tolerances, 10 ppm fragments, and 2 missed cleavages. Actual search-enzyme specificity is not supplied; Trypsin/P is not assumed.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	non-tolerant
PXD070160_non-tolerant_4	Rattus norvegicus	blood	blood cell	adult	not available	not available	not available	4	non-tolerant	Matched donor procedure without tourniquet application; secretome collected ex vivo from the resulting mixed blood cells	PXD070160_run_4_CV-60	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not available	2	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	2 ppm	10 ppm	1	1	-60 V	20240427_RatSec_con4_-60.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD070160/20240427_RatSec_con4_-60.mzXML	20240427_RatSec_con4.raw	f856be398be750a02114c3245fa743f0c828a35d	run 4	sample 1	2	Ex vivo secretome released by mixed rat blood cells in artificial plasma; plasma was removed before cell incubation and the analysed supernatant retained exosomes and microparticles. Blood and blood cell describe the biological origin, not an intact-cell lysate. Tolerant and non-tolerant are author condition labels for RIC-primed and sham donor preparations. Brain ischemia belongs to the recipient stroke experiment and is not assigned to secretome donors. Source identifies one author condition/biological-replicate preparation, not a newly inferred animal ID. Each original LC-MS acquisition alternated FAIMS -40 and -60 V and was computationally split into two mzXML files. This row identifies one deposited data file, not an independent injection; the paired files share original data file, parent SHA1 and original assay name. Fraction 1 denotes no physical prefractionation; author fraction labels 1/2 are retained only as provenance. Parent SHA1 is declared by mzXML, not recomputed from an unavailable original RAW.	MaxQuant 1.6.17.0 after FAIMS MzXML Generator conversion. Deposited mzTab metadata confirms CAM(C), Ox(M), acetyl(protein N-term), deamidation(N,Q). PRIDE processing protocol specifies 10 ppm first-search and 2 ppm recalibrated main-search precursor tolerances, 10 ppm fragments, and 2 missed cleavages. Actual search-enzyme specificity is not supplied; Trypsin/P is not assumed.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	non-tolerant
PXD070160_non-tolerant_5	Rattus norvegicus	blood	blood cell	adult	not available	not available	not available	5	non-tolerant	Matched donor procedure without tourniquet application; secretome collected ex vivo from the resulting mixed blood cells	PXD070160_run_5_CV-40	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not available	2	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	2 ppm	10 ppm	1	1	-40 V	20240427_RatSec_con5_-40.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD070160/20240427_RatSec_con5_-40.mzXML	20240427_RatSec_con5.raw	2d7334ba08d7b278b20f22a390013902a5983027	run 5	sample 1	1	Ex vivo secretome released by mixed rat blood cells in artificial plasma; plasma was removed before cell incubation and the analysed supernatant retained exosomes and microparticles. Blood and blood cell describe the biological origin, not an intact-cell lysate. Tolerant and non-tolerant are author condition labels for RIC-primed and sham donor preparations. Brain ischemia belongs to the recipient stroke experiment and is not assigned to secretome donors. Source identifies one author condition/biological-replicate preparation, not a newly inferred animal ID. Each original LC-MS acquisition alternated FAIMS -40 and -60 V and was computationally split into two mzXML files. This row identifies one deposited data file, not an independent injection; the paired files share original data file, parent SHA1 and original assay name. Fraction 1 denotes no physical prefractionation; author fraction labels 1/2 are retained only as provenance. Parent SHA1 is declared by mzXML, not recomputed from an unavailable original RAW.	MaxQuant 1.6.17.0 after FAIMS MzXML Generator conversion. Deposited mzTab metadata confirms CAM(C), Ox(M), acetyl(protein N-term), deamidation(N,Q). PRIDE processing protocol specifies 10 ppm first-search and 2 ppm recalibrated main-search precursor tolerances, 10 ppm fragments, and 2 missed cleavages. Actual search-enzyme specificity is not supplied; Trypsin/P is not assumed.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	non-tolerant
PXD070160_non-tolerant_5	Rattus norvegicus	blood	blood cell	adult	not available	not available	not available	5	non-tolerant	Matched donor procedure without tourniquet application; secretome collected ex vivo from the resulting mixed blood cells	PXD070160_run_5_CV-60	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	not available	2	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	2 ppm	10 ppm	1	1	-60 V	20240427_RatSec_con5_-60.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD070160/20240427_RatSec_con5_-60.mzXML	20240427_RatSec_con5.raw	2d7334ba08d7b278b20f22a390013902a5983027	run 5	sample 1	2	Ex vivo secretome released by mixed rat blood cells in artificial plasma; plasma was removed before cell incubation and the analysed supernatant retained exosomes and microparticles. Blood and blood cell describe the biological origin, not an intact-cell lysate. Tolerant and non-tolerant are author condition labels for RIC-primed and sham donor preparations. Brain ischemia belongs to the recipient stroke experiment and is not assigned to secretome donors. Source identifies one author condition/biological-replicate preparation, not a newly inferred animal ID. Each original LC-MS acquisition alternated FAIMS -40 and -60 V and was computationally split into two mzXML files. This row identifies one deposited data file, not an independent injection; the paired files share original data file, parent SHA1 and original assay name. Fraction 1 denotes no physical prefractionation; author fraction labels 1/2 are retained only as provenance. Parent SHA1 is declared by mzXML, not recomputed from an unavailable original RAW.	MaxQuant 1.6.17.0 after FAIMS MzXML Generator conversion. Deposited mzTab metadata confirms CAM(C), Ox(M), acetyl(protein N-term), deamidation(N,Q). PRIDE processing protocol specifies 10 ppm first-search and 2 ppm recalibrated main-search precursor tolerances, 10 ppm fragments, and 2 missed cleavages. Actual search-enzyme specificity is not supplied; Trypsin/P is not assumed.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	non-tolerant
