source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[experimental condition]	characteristics[treatment protocol]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[original sample identifier]	comment[sample description]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[experimental condition]
PXD071140_OV_19_1	Bos taurus	oviduct	not applicable	not applicable	not available	1	Organoid derived secretion Contol (without hormonal treatment)	Vehicle control; no hormonal treatment; 4 days	run1	proteomic profiling by mass spectrometry	NT=timsTOF fleX;AC=MS:1003124	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	Data-independent acquisition	not available	not available	not available	not available	not available	1	1	DP_ov_19_01_4105.d.tar.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD071140/DP_ov_19_01_4105.d.tar.zip	OV_19_1	Organoid-derived luminal secretion released into PBS from bovine oviductal epithelial organoids. Author source and biological-replicate assignments are preserved. The Progesterone author label denotes the combined luteal-phase-mimicking regimen called mP4 in the publication, not progesterone alone. Organoid and donor identifiers beyond the author source labels are not inferred.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Organoid derived secretion Contol (without hormonal treatment)
PXD071140_OV_19_2	Bos taurus	oviduct	not applicable	not applicable	not available	1	Organoid derived secretion Estradiol treatment	10 nM beta-estradiol for 4 days	run2	proteomic profiling by mass spectrometry	NT=timsTOF fleX;AC=MS:1003124	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	Data-independent acquisition	not available	not available	not available	not available	not available	1	1	DP_ov_19_02_4110.d.tar.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD071140/DP_ov_19_02_4110.d.tar.zip	OV_19_2	Organoid-derived luminal secretion released into PBS from bovine oviductal epithelial organoids. Author source and biological-replicate assignments are preserved. The Progesterone author label denotes the combined luteal-phase-mimicking regimen called mP4 in the publication, not progesterone alone. Organoid and donor identifiers beyond the author source labels are not inferred.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Organoid derived secretion Estradiol treatment
PXD071140_OV_19_6	Bos taurus	oviduct	not applicable	not applicable	not available	1	Organoid derived secretion Progesterone treatment	10 nM beta-estradiol for 2 days, followed by 1 nM beta-estradiol, 1 uM medroxyprogesterone acetate and 1 uM 8-bromoadenosine 3′,5′-cyclic monophosphate for 2 days	run3	proteomic profiling by mass spectrometry	NT=timsTOF fleX;AC=MS:1003124	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	Data-independent acquisition	not available	not available	not available	not available	not available	1	1	DP_ov_19_06_4113.d.tar.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD071140/DP_ov_19_06_4113.d.tar.zip	OV_19_6	Organoid-derived luminal secretion released into PBS from bovine oviductal epithelial organoids. Author source and biological-replicate assignments are preserved. The Progesterone author label denotes the combined luteal-phase-mimicking regimen called mP4 in the publication, not progesterone alone. Organoid and donor identifiers beyond the author source labels are not inferred.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Organoid derived secretion Progesterone treatment
PXD071140_OV_39_1	Bos taurus	oviduct	not applicable	not applicable	not available	2	Organoid derived secretion Contol (without hormonal treatment)	Vehicle control; no hormonal treatment; 4 days	run4	proteomic profiling by mass spectrometry	NT=timsTOF fleX;AC=MS:1003124	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	Data-independent acquisition	not available	not available	not available	not available	not available	1	1	DP_ov_39_01_4112.d.tar.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD071140/DP_ov_39_01_4112.d.tar.zip	OV_39_1	Organoid-derived luminal secretion released into PBS from bovine oviductal epithelial organoids. Author source and biological-replicate assignments are preserved. The Progesterone author label denotes the combined luteal-phase-mimicking regimen called mP4 in the publication, not progesterone alone. Organoid and donor identifiers beyond the author source labels are not inferred.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Organoid derived secretion Contol (without hormonal treatment)
PXD071140_OV_39_2	Bos taurus	oviduct	not applicable	not applicable	not available	2	Organoid derived secretion Estradiol treatment	10 nM beta-estradiol for 4 days	run5	proteomic profiling by mass spectrometry	NT=timsTOF fleX;AC=MS:1003124	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	Data-independent acquisition	not available	not available	not available	not available	not available	1	1	DP_ov_39_02_4108.d.tar.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD071140/DP_ov_39_02_4108.d.tar.zip	OV_39_2	Organoid-derived luminal secretion released into PBS from bovine oviductal epithelial organoids. Author source and biological-replicate assignments are preserved. The Progesterone author label denotes the combined luteal-phase-mimicking regimen called mP4 in the publication, not progesterone alone. Organoid and donor identifiers beyond the author source labels are not inferred.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Organoid derived secretion Estradiol treatment
PXD071140_OV_39_6	Bos taurus	oviduct	not applicable	not applicable	not available	2	Organoid derived secretion Progesterone treatment	10 nM beta-estradiol for 2 days, followed by 1 nM beta-estradiol, 1 uM medroxyprogesterone acetate and 1 uM 8-bromoadenosine 3′,5′-cyclic monophosphate for 2 days	run6	proteomic profiling by mass spectrometry	NT=timsTOF fleX;AC=MS:1003124	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	Data-independent acquisition	not available	not available	not available	not available	not available	1	1	DP_ov_39_06_4102.d.tar.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD071140/DP_ov_39_06_4102.d.tar.zip	OV_39_6	Organoid-derived luminal secretion released into PBS from bovine oviductal epithelial organoids. Author source and biological-replicate assignments are preserved. The Progesterone author label denotes the combined luteal-phase-mimicking regimen called mP4 in the publication, not progesterone alone. Organoid and donor identifiers beyond the author source labels are not inferred.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Organoid derived secretion Progesterone treatment
PXD071140_OV_79_1	Bos taurus	oviduct	not applicable	not applicable	not available	3	Organoid derived secretion Contol (without hormonal treatment)	Vehicle control; no hormonal treatment; 4 days	run7	proteomic profiling by mass spectrometry	NT=timsTOF fleX;AC=MS:1003124	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	Data-independent acquisition	not available	not available	not available	not available	not available	1	1	DP_ov_79_01_4103.d.tar.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD071140/DP_ov_79_01_4103.d.tar.zip	OV_79_1	Organoid-derived luminal secretion released into PBS from bovine oviductal epithelial organoids. Author source and biological-replicate assignments are preserved. The Progesterone author label denotes the combined luteal-phase-mimicking regimen called mP4 in the publication, not progesterone alone. Organoid and donor identifiers beyond the author source labels are not inferred.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Organoid derived secretion Contol (without hormonal treatment)
PXD071140_OV_79_2	Bos taurus	oviduct	not applicable	not applicable	not available	3	Organoid derived secretion Estradiol treatment	10 nM beta-estradiol for 4 days	run8	proteomic profiling by mass spectrometry	NT=timsTOF fleX;AC=MS:1003124	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	Data-independent acquisition	not available	not available	not available	not available	not available	1	1	DP_ov_79_02_4106.d.tar.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD071140/DP_ov_79_02_4106.d.tar.zip	OV_79_2	Organoid-derived luminal secretion released into PBS from bovine oviductal epithelial organoids. Author source and biological-replicate assignments are preserved. The Progesterone author label denotes the combined luteal-phase-mimicking regimen called mP4 in the publication, not progesterone alone. Organoid and donor identifiers beyond the author source labels are not inferred.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Organoid derived secretion Estradiol treatment
PXD071140_OV_79_6	Bos taurus	oviduct	not applicable	not applicable	not available	3	Organoid derived secretion Progesterone treatment	10 nM beta-estradiol for 2 days, followed by 1 nM beta-estradiol, 1 uM medroxyprogesterone acetate and 1 uM 8-bromoadenosine 3′,5′-cyclic monophosphate for 2 days	run9	proteomic profiling by mass spectrometry	NT=timsTOF fleX;AC=MS:1003124	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	Data-independent acquisition	not available	not available	not available	not available	not available	1	1	DP_ov_79_06_4104.d.tar.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD071140/DP_ov_79_06_4104.d.tar.zip	OV_79_6	Organoid-derived luminal secretion released into PBS from bovine oviductal epithelial organoids. Author source and biological-replicate assignments are preserved. The Progesterone author label denotes the combined luteal-phase-mimicking regimen called mP4 in the publication, not progesterone alone. Organoid and donor identifiers beyond the author source labels are not inferred.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Organoid derived secretion Progesterone treatment
PXD071140_BOF_1	Bos taurus	oviductal fluid	not applicable	not applicable	not available	1	In vivo bovine oviductal fluid from early luteal phase	not applicable	run10	proteomic profiling by mass spectrometry	NT=timsTOF fleX;AC=MS:1003124	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	Data-independent acquisition	not available	not available	not available	not available	not available	1	1	DP_ov_BOF_01_4109.d.tar.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD071140/DP_ov_BOF_01_4109.d.tar.zip	BOF_1	Native bovine oviductal fluid from the early luteal phase. The author design assigns BOF_1, BOF_2 and BOF_3 to biological replicate 1 and technical replicates 1, 2 and 3. Distinct author source identifiers are retained; donor count, pooling and aliquot relationships are not specified. These are not three independent biological replicates.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	In vivo bovine oviductal fluid from early luteal phase
