source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[genotype]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[digestion protocol]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[original search data file]	comment[sample description]	comment[replicate provenance]	comment[search parameter source]	comment[annotation provenance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[genotype]	factor value[organism part]
WT_CTX1	Macaca fascicularis	cerebral cortex	normal	wild type	not available	not available	not available	1	WT_CTX1_Slot1-25_1_12620	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	Physical trypsin FASP digestion; MaxQuant specifies Trypsin/P search specificity with two missed cleavages.	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	6 ppm	0.05 Da	1	1	WT_CTX1_Slot1-25_1_12620.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD079349/WT_CTX1_Slot1-25_1_12620.d.zip	YAS202308290046_1_WT_CTX1_Slot1-25_1_12620.d	wild type cynomolgus monkey cerebral cortex tissue; label-free DDA-PASEF proteomics. Age and sex are not reported in the deposited sample metadata.	The deposit explicitly defines four biological tissue samples per genotype/tissue group. These are numbered 1-4 within each group, replacing the all-1 placeholder. Original WT/TAU source identifiers are preserved; no additional donor identity or cross-tissue pairing is asserted.	Deposited MaxQuant 1.6.14.0 summary.txt specifies fixed CAM C and variable Oxidation M plus protein N-terminal Acetyl for all 16 files. Sampled msms.txt records cover all 16 runs and identify TOF analysis; parameters.txt gives the matching TOF fragment tolerance 0.05 Da, superseding the generic project 20 ppm statement. The project protocol reports main-search precursor tolerance 6 ppm.	Agent-assisted curation using Codex and sdrf-skills. All 16 author file mappings agree with the complete RAW inventory and MaxQuant experiment labels. The search filenames have a common YAS202308290046_1_ prefix removed in the archive filenames; full retained suffixes and experiment labels both match exactly. Public evidence: https://www.ebi.ac.uk/pride/archive/projects/PXD079349	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	wild type	cerebral cortex
WT_CTX2	Macaca fascicularis	cerebral cortex	normal	wild type	not available	not available	not available	2	WT_CTX2_Slot1-26_1_12621	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	Physical trypsin FASP digestion; MaxQuant specifies Trypsin/P search specificity with two missed cleavages.	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	6 ppm	0.05 Da	1	1	WT_CTX2_Slot1-26_1_12621.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD079349/WT_CTX2_Slot1-26_1_12621.d.zip	YAS202308290046_1_WT_CTX2_Slot1-26_1_12621.d	wild type cynomolgus monkey cerebral cortex tissue; label-free DDA-PASEF proteomics. Age and sex are not reported in the deposited sample metadata.	The deposit explicitly defines four biological tissue samples per genotype/tissue group. These are numbered 1-4 within each group, replacing the all-1 placeholder. Original WT/TAU source identifiers are preserved; no additional donor identity or cross-tissue pairing is asserted.	Deposited MaxQuant 1.6.14.0 summary.txt specifies fixed CAM C and variable Oxidation M plus protein N-terminal Acetyl for all 16 files. Sampled msms.txt records cover all 16 runs and identify TOF analysis; parameters.txt gives the matching TOF fragment tolerance 0.05 Da, superseding the generic project 20 ppm statement. The project protocol reports main-search precursor tolerance 6 ppm.	Agent-assisted curation using Codex and sdrf-skills. All 16 author file mappings agree with the complete RAW inventory and MaxQuant experiment labels. The search filenames have a common YAS202308290046_1_ prefix removed in the archive filenames; full retained suffixes and experiment labels both match exactly. Public evidence: https://www.ebi.ac.uk/pride/archive/projects/PXD079349	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	wild type	cerebral cortex
WT_CTX3	Macaca fascicularis	cerebral cortex	normal	wild type	not available	not available	not available	3	WT_CTX3_Slot1-27_1_12622	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	Physical trypsin FASP digestion; MaxQuant specifies Trypsin/P search specificity with two missed cleavages.	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	6 ppm	0.05 Da	1	1	WT_CTX3_Slot1-27_1_12622.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD079349/WT_CTX3_Slot1-27_1_12622.d.zip	YAS202308290046_1_WT_CTX3_Slot1-27_1_12622.d	wild type cynomolgus monkey cerebral cortex tissue; label-free DDA-PASEF proteomics. Age and sex are not reported in the deposited sample metadata.	The deposit explicitly defines four biological tissue samples per genotype/tissue group. These are numbered 1-4 within each group, replacing the all-1 placeholder. Original WT/TAU source identifiers are preserved; no additional donor identity or cross-tissue pairing is asserted.	Deposited MaxQuant 1.6.14.0 summary.txt specifies fixed CAM C and variable Oxidation M plus protein N-terminal Acetyl for all 16 files. Sampled msms.txt records cover all 16 runs and identify TOF analysis; parameters.txt gives the matching TOF fragment tolerance 0.05 Da, superseding the generic project 20 ppm statement. The project protocol reports main-search precursor tolerance 6 ppm.	Agent-assisted curation using Codex and sdrf-skills. All 16 author file mappings agree with the complete RAW inventory and MaxQuant experiment labels. The search filenames have a common YAS202308290046_1_ prefix removed in the archive filenames; full retained suffixes and experiment labels both match exactly. Public evidence: https://www.ebi.ac.uk/pride/archive/projects/PXD079349	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	wild type	cerebral cortex
WT_CTX4	Macaca fascicularis	cerebral cortex	normal	wild type	not available	not available	not available	4	WT_CTX4_Slot1-28_1_12623	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	Physical trypsin FASP digestion; MaxQuant specifies Trypsin/P search specificity with two missed cleavages.	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	6 ppm	0.05 Da	1	1	WT_CTX4_Slot1-28_1_12623.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD079349/WT_CTX4_Slot1-28_1_12623.d.zip	YAS202308290046_1_WT_CTX4_Slot1-28_1_12623.d	wild type cynomolgus monkey cerebral cortex tissue; label-free DDA-PASEF proteomics. Age and sex are not reported in the deposited sample metadata.	The deposit explicitly defines four biological tissue samples per genotype/tissue group. These are numbered 1-4 within each group, replacing the all-1 placeholder. Original WT/TAU source identifiers are preserved; no additional donor identity or cross-tissue pairing is asserted.	Deposited MaxQuant 1.6.14.0 summary.txt specifies fixed CAM C and variable Oxidation M plus protein N-terminal Acetyl for all 16 files. Sampled msms.txt records cover all 16 runs and identify TOF analysis; parameters.txt gives the matching TOF fragment tolerance 0.05 Da, superseding the generic project 20 ppm statement. The project protocol reports main-search precursor tolerance 6 ppm.	Agent-assisted curation using Codex and sdrf-skills. All 16 author file mappings agree with the complete RAW inventory and MaxQuant experiment labels. The search filenames have a common YAS202308290046_1_ prefix removed in the archive filenames; full retained suffixes and experiment labels both match exactly. Public evidence: https://www.ebi.ac.uk/pride/archive/projects/PXD079349	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	wild type	cerebral cortex
WT_SP1	Macaca fascicularis	spinal cord	normal	wild type	not available	not available	not available	1	WT_SP1_Slot1-29_1_12625	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	Physical trypsin FASP digestion; MaxQuant specifies Trypsin/P search specificity with two missed cleavages.	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	6 ppm	0.05 Da	1	1	WT_SP1_Slot1-29_1_12625.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD079349/WT_SP1_Slot1-29_1_12625.d.zip	YAS202308290046_1_WT_SP1_Slot1-29_1_12625.d	wild type cynomolgus monkey spinal cord tissue; label-free DDA-PASEF proteomics. Age and sex are not reported in the deposited sample metadata.	The deposit explicitly defines four biological tissue samples per genotype/tissue group. These are numbered 1-4 within each group, replacing the all-1 placeholder. Original WT/TAU source identifiers are preserved; no additional donor identity or cross-tissue pairing is asserted.	Deposited MaxQuant 1.6.14.0 summary.txt specifies fixed CAM C and variable Oxidation M plus protein N-terminal Acetyl for all 16 files. Sampled msms.txt records cover all 16 runs and identify TOF analysis; parameters.txt gives the matching TOF fragment tolerance 0.05 Da, superseding the generic project 20 ppm statement. The project protocol reports main-search precursor tolerance 6 ppm.	Agent-assisted curation using Codex and sdrf-skills. All 16 author file mappings agree with the complete RAW inventory and MaxQuant experiment labels. The search filenames have a common YAS202308290046_1_ prefix removed in the archive filenames; full retained suffixes and experiment labels both match exactly. Public evidence: https://www.ebi.ac.uk/pride/archive/projects/PXD079349	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	wild type	spinal cord
WT_SP2	Macaca fascicularis	spinal cord	normal	wild type	not available	not available	not available	2	WT_SP2_Slot1-30_1_12626	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	Physical trypsin FASP digestion; MaxQuant specifies Trypsin/P search specificity with two missed cleavages.	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	6 ppm	0.05 Da	1	1	WT_SP2_Slot1-30_1_12626.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD079349/WT_SP2_Slot1-30_1_12626.d.zip	YAS202308290046_1_WT_SP2_Slot1-30_1_12626.d	wild type cynomolgus monkey spinal cord tissue; label-free DDA-PASEF proteomics. Age and sex are not reported in the deposited sample metadata.	The deposit explicitly defines four biological tissue samples per genotype/tissue group. These are numbered 1-4 within each group, replacing the all-1 placeholder. Original WT/TAU source identifiers are preserved; no additional donor identity or cross-tissue pairing is asserted.	Deposited MaxQuant 1.6.14.0 summary.txt specifies fixed CAM C and variable Oxidation M plus protein N-terminal Acetyl for all 16 files. Sampled msms.txt records cover all 16 runs and identify TOF analysis; parameters.txt gives the matching TOF fragment tolerance 0.05 Da, superseding the generic project 20 ppm statement. The project protocol reports main-search precursor tolerance 6 ppm.	Agent-assisted curation using Codex and sdrf-skills. All 16 author file mappings agree with the complete RAW inventory and MaxQuant experiment labels. The search filenames have a common YAS202308290046_1_ prefix removed in the archive filenames; full retained suffixes and experiment labels both match exactly. Public evidence: https://www.ebi.ac.uk/pride/archive/projects/PXD079349	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	wild type	spinal cord
WT_SP3	Macaca fascicularis	spinal cord	normal	wild type	not available	not available	not available	3	WT_SP3_Slot1-31_1_12627	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	Physical trypsin FASP digestion; MaxQuant specifies Trypsin/P search specificity with two missed cleavages.	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	6 ppm	0.05 Da	1	1	WT_SP3_Slot1-31_1_12627.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD079349/WT_SP3_Slot1-31_1_12627.d.zip	YAS202308290046_1_WT_SP3_Slot1-31_1_12627.d	wild type cynomolgus monkey spinal cord tissue; label-free DDA-PASEF proteomics. Age and sex are not reported in the deposited sample metadata.	The deposit explicitly defines four biological tissue samples per genotype/tissue group. These are numbered 1-4 within each group, replacing the all-1 placeholder. Original WT/TAU source identifiers are preserved; no additional donor identity or cross-tissue pairing is asserted.	Deposited MaxQuant 1.6.14.0 summary.txt specifies fixed CAM C and variable Oxidation M plus protein N-terminal Acetyl for all 16 files. Sampled msms.txt records cover all 16 runs and identify TOF analysis; parameters.txt gives the matching TOF fragment tolerance 0.05 Da, superseding the generic project 20 ppm statement. The project protocol reports main-search precursor tolerance 6 ppm.	Agent-assisted curation using Codex and sdrf-skills. All 16 author file mappings agree with the complete RAW inventory and MaxQuant experiment labels. The search filenames have a common YAS202308290046_1_ prefix removed in the archive filenames; full retained suffixes and experiment labels both match exactly. Public evidence: https://www.ebi.ac.uk/pride/archive/projects/PXD079349	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	wild type	spinal cord
WT_SP4	Macaca fascicularis	spinal cord	normal	wild type	not available	not available	not available	4	WT_SP4_Slot1-32_1_12628	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	Physical trypsin FASP digestion; MaxQuant specifies Trypsin/P search specificity with two missed cleavages.	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	6 ppm	0.05 Da	1	1	WT_SP4_Slot1-32_1_12628.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD079349/WT_SP4_Slot1-32_1_12628.d.zip	YAS202308290046_1_WT_SP4_Slot1-32_1_12628.d	wild type cynomolgus monkey spinal cord tissue; label-free DDA-PASEF proteomics. Age and sex are not reported in the deposited sample metadata.	The deposit explicitly defines four biological tissue samples per genotype/tissue group. These are numbered 1-4 within each group, replacing the all-1 placeholder. Original WT/TAU source identifiers are preserved; no additional donor identity or cross-tissue pairing is asserted.	Deposited MaxQuant 1.6.14.0 summary.txt specifies fixed CAM C and variable Oxidation M plus protein N-terminal Acetyl for all 16 files. Sampled msms.txt records cover all 16 runs and identify TOF analysis; parameters.txt gives the matching TOF fragment tolerance 0.05 Da, superseding the generic project 20 ppm statement. The project protocol reports main-search precursor tolerance 6 ppm.	Agent-assisted curation using Codex and sdrf-skills. All 16 author file mappings agree with the complete RAW inventory and MaxQuant experiment labels. The search filenames have a common YAS202308290046_1_ prefix removed in the archive filenames; full retained suffixes and experiment labels both match exactly. Public evidence: https://www.ebi.ac.uk/pride/archive/projects/PXD079349	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	wild type	spinal cord
TAU1_CTX	Macaca fascicularis	cerebral cortex	tauopathy	Tau P301L transgenic	not available	not available	not available	1	TAU1_CTX_Slot1-53_1_12531	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	Physical trypsin FASP digestion; MaxQuant specifies Trypsin/P search specificity with two missed cleavages.	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	6 ppm	0.05 Da	1	1	TAU1_CTX_Slot1-53_1_12531.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD079349/TAU1_CTX_Slot1-53_1_12531.d.zip	YAS202308290046_1_TAU1_CTX_Slot1-53_1_12531.d	Tau P301L transgenic cynomolgus monkey cerebral cortex tissue; label-free DDA-PASEF proteomics. Age and sex are not reported in the deposited sample metadata.	The deposit explicitly defines four biological tissue samples per genotype/tissue group. These are numbered 1-4 within each group, replacing the all-1 placeholder. Original WT/TAU source identifiers are preserved; no additional donor identity or cross-tissue pairing is asserted.	Deposited MaxQuant 1.6.14.0 summary.txt specifies fixed CAM C and variable Oxidation M plus protein N-terminal Acetyl for all 16 files. Sampled msms.txt records cover all 16 runs and identify TOF analysis; parameters.txt gives the matching TOF fragment tolerance 0.05 Da, superseding the generic project 20 ppm statement. The project protocol reports main-search precursor tolerance 6 ppm.	Agent-assisted curation using Codex and sdrf-skills. All 16 author file mappings agree with the complete RAW inventory and MaxQuant experiment labels. The search filenames have a common YAS202308290046_1_ prefix removed in the archive filenames; full retained suffixes and experiment labels both match exactly. Public evidence: https://www.ebi.ac.uk/pride/archive/projects/PXD079349	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Tau P301L transgenic	cerebral cortex
TAU2_CTX	Macaca fascicularis	cerebral cortex	tauopathy	Tau P301L transgenic	not available	not available	not available	2	TAU2_CTX_Slot1-54_1_12532	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	Physical trypsin FASP digestion; MaxQuant specifies Trypsin/P search specificity with two missed cleavages.	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	6 ppm	0.05 Da	1	1	TAU2_CTX_Slot1-54_1_12532.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD079349/TAU2_CTX_Slot1-54_1_12532.d.zip	YAS202308290046_1_TAU2_CTX_Slot1-54_1_12532.d	Tau P301L transgenic cynomolgus monkey cerebral cortex tissue; label-free DDA-PASEF proteomics. Age and sex are not reported in the deposited sample metadata.	The deposit explicitly defines four biological tissue samples per genotype/tissue group. These are numbered 1-4 within each group, replacing the all-1 placeholder. Original WT/TAU source identifiers are preserved; no additional donor identity or cross-tissue pairing is asserted.	Deposited MaxQuant 1.6.14.0 summary.txt specifies fixed CAM C and variable Oxidation M plus protein N-terminal Acetyl for all 16 files. Sampled msms.txt records cover all 16 runs and identify TOF analysis; parameters.txt gives the matching TOF fragment tolerance 0.05 Da, superseding the generic project 20 ppm statement. The project protocol reports main-search precursor tolerance 6 ppm.	Agent-assisted curation using Codex and sdrf-skills. All 16 author file mappings agree with the complete RAW inventory and MaxQuant experiment labels. The search filenames have a common YAS202308290046_1_ prefix removed in the archive filenames; full retained suffixes and experiment labels both match exactly. Public evidence: https://www.ebi.ac.uk/pride/archive/projects/PXD079349	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Tau P301L transgenic	cerebral cortex
