source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[model]	characteristics[biological replicate]	characteristics[experimental condition]	characteristics[pooled sample]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[search enzyme]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[original sample identifier]	comment[xenograft host]	comment[sample description]	comment[search parameter source]	comment[annotation provenance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[experimental condition]
PXD079448_21572	Homo sapiens	breast	breast adenocarcinoma	MDAMB231	CVCL_0062	MDA-MB-231	pleural effusion	51Y	female	adult	not available	xenograft	1	CDK4WT	not pooled	PXD079448_260522_Parashar_21572_130min_2ul	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	4.5 ppm	20 ppm	1	1	260522_Parashar_21572_130min_2ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD079448/260522_Parashar_21572_130min_2ul.raw	WT-Veh CKG-29326	Mus musculus; implantation site: mammary fat pad; host age, sex, strain and individual IDs not available	Tumor tissue from a human MDA-MB-231-derived xenograft implanted in the mouse mammary fat pad. Cell line, breast origin, pleural-effusion sampling site, disease, age 51Y and female sex describe the original parental human cell-line donor, not the mouse host or the present tumor collection. Host age, sex, strain and correspondence between tumors and individual mice are not provided. The parental Cellosaurus accession does not identify a separately registered CDK4-engineered subclone. Author sample names and CDK4WT/CDK4KO conditions are retained.	MaxQuant_txt.zip: mqpar.xml, summary.txt and parameters.txt; MaxQuant 2.6.7.0, Trypsin/P, fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation; main-search precursor 4.5 ppm and FTMS fragment 20 ppm. The archived search uses SwissProt_Homo_sapiens_20260507.fasta plus contaminants; other human/mouse searches mentioned in the protocol are not represented by this mqpar.xml. The cleavage fields report trypsin and Lys-C from the preparation protocol; the search-enzyme field separately records the deposited Trypsin/P specificity.	Agent-assisted curation using Codex and sdrf-skills. Samples and RAW mapping: deposited Sample_list.xlsx, original SDRF, MaxQuant mqpar.xml and summary.txt; instrument and DDA method: all 10 RAW headers. The current archive explicitly identifies both conditions as MDA-MB-231-derived, correcting the author spreadsheet series MDA-MB-231 through MDA-MB-240. Parental cell metadata: https://www.cellosaurus.org/CVCL_0062 . Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD079448 . The linked 2025 preprint predates these 2026 xenograft acquisitions and is not used to assign their host or clone metadata.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	CDK4WT
PXD079448_21573	Homo sapiens	breast	breast adenocarcinoma	MDAMB231	CVCL_0062	MDA-MB-231	pleural effusion	51Y	female	adult	not available	xenograft	2	CDK4WT	not pooled	PXD079448_260522_Parashar_21573_130min_2ul	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	4.5 ppm	20 ppm	1	1	260522_Parashar_21573_130min_2ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD079448/260522_Parashar_21573_130min_2ul.raw	WT-Veh CKG-29327	Mus musculus; implantation site: mammary fat pad; host age, sex, strain and individual IDs not available	Tumor tissue from a human MDA-MB-231-derived xenograft implanted in the mouse mammary fat pad. Cell line, breast origin, pleural-effusion sampling site, disease, age 51Y and female sex describe the original parental human cell-line donor, not the mouse host or the present tumor collection. Host age, sex, strain and correspondence between tumors and individual mice are not provided. The parental Cellosaurus accession does not identify a separately registered CDK4-engineered subclone. Author sample names and CDK4WT/CDK4KO conditions are retained.	MaxQuant_txt.zip: mqpar.xml, summary.txt and parameters.txt; MaxQuant 2.6.7.0, Trypsin/P, fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation; main-search precursor 4.5 ppm and FTMS fragment 20 ppm. The archived search uses SwissProt_Homo_sapiens_20260507.fasta plus contaminants; other human/mouse searches mentioned in the protocol are not represented by this mqpar.xml. The cleavage fields report trypsin and Lys-C from the preparation protocol; the search-enzyme field separately records the deposited Trypsin/P specificity.	Agent-assisted curation using Codex and sdrf-skills. Samples and RAW mapping: deposited Sample_list.xlsx, original SDRF, MaxQuant mqpar.xml and summary.txt; instrument and DDA method: all 10 RAW headers. The current archive explicitly identifies both conditions as MDA-MB-231-derived, correcting the author spreadsheet series MDA-MB-231 through MDA-MB-240. Parental cell metadata: https://www.cellosaurus.org/CVCL_0062 . Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD079448 . The linked 2025 preprint predates these 2026 xenograft acquisitions and is not used to assign their host or clone metadata.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	CDK4WT
PXD079448_21574	Homo sapiens	breast	breast adenocarcinoma	MDAMB231	CVCL_0062	MDA-MB-231	pleural effusion	51Y	female	adult	not available	xenograft	3	CDK4WT	not pooled	PXD079448_260522_Parashar_21574_130min_2ul	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	4.5 ppm	20 ppm	1	1	260522_Parashar_21574_130min_2ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD079448/260522_Parashar_21574_130min_2ul.raw	WT-Veh CKG-29322	Mus musculus; implantation site: mammary fat pad; host age, sex, strain and individual IDs not available	Tumor tissue from a human MDA-MB-231-derived xenograft implanted in the mouse mammary fat pad. Cell line, breast origin, pleural-effusion sampling site, disease, age 51Y and female sex describe the original parental human cell-line donor, not the mouse host or the present tumor collection. Host age, sex, strain and correspondence between tumors and individual mice are not provided. The parental Cellosaurus accession does not identify a separately registered CDK4-engineered subclone. Author sample names and CDK4WT/CDK4KO conditions are retained.	MaxQuant_txt.zip: mqpar.xml, summary.txt and parameters.txt; MaxQuant 2.6.7.0, Trypsin/P, fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation; main-search precursor 4.5 ppm and FTMS fragment 20 ppm. The archived search uses SwissProt_Homo_sapiens_20260507.fasta plus contaminants; other human/mouse searches mentioned in the protocol are not represented by this mqpar.xml. The cleavage fields report trypsin and Lys-C from the preparation protocol; the search-enzyme field separately records the deposited Trypsin/P specificity.	Agent-assisted curation using Codex and sdrf-skills. Samples and RAW mapping: deposited Sample_list.xlsx, original SDRF, MaxQuant mqpar.xml and summary.txt; instrument and DDA method: all 10 RAW headers. The current archive explicitly identifies both conditions as MDA-MB-231-derived, correcting the author spreadsheet series MDA-MB-231 through MDA-MB-240. Parental cell metadata: https://www.cellosaurus.org/CVCL_0062 . Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD079448 . The linked 2025 preprint predates these 2026 xenograft acquisitions and is not used to assign their host or clone metadata.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	CDK4WT
PXD079448_21575	Homo sapiens	breast	breast adenocarcinoma	MDAMB231	CVCL_0062	MDA-MB-231	pleural effusion	51Y	female	adult	not available	xenograft	4	CDK4WT	not pooled	PXD079448_260522_Parashar_21575_130min_2ul	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	4.5 ppm	20 ppm	1	1	260522_Parashar_21575_130min_2ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD079448/260522_Parashar_21575_130min_2ul.raw	WT-Veh CKG-29335	Mus musculus; implantation site: mammary fat pad; host age, sex, strain and individual IDs not available	Tumor tissue from a human MDA-MB-231-derived xenograft implanted in the mouse mammary fat pad. Cell line, breast origin, pleural-effusion sampling site, disease, age 51Y and female sex describe the original parental human cell-line donor, not the mouse host or the present tumor collection. Host age, sex, strain and correspondence between tumors and individual mice are not provided. The parental Cellosaurus accession does not identify a separately registered CDK4-engineered subclone. Author sample names and CDK4WT/CDK4KO conditions are retained.	MaxQuant_txt.zip: mqpar.xml, summary.txt and parameters.txt; MaxQuant 2.6.7.0, Trypsin/P, fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation; main-search precursor 4.5 ppm and FTMS fragment 20 ppm. The archived search uses SwissProt_Homo_sapiens_20260507.fasta plus contaminants; other human/mouse searches mentioned in the protocol are not represented by this mqpar.xml. The cleavage fields report trypsin and Lys-C from the preparation protocol; the search-enzyme field separately records the deposited Trypsin/P specificity.	Agent-assisted curation using Codex and sdrf-skills. Samples and RAW mapping: deposited Sample_list.xlsx, original SDRF, MaxQuant mqpar.xml and summary.txt; instrument and DDA method: all 10 RAW headers. The current archive explicitly identifies both conditions as MDA-MB-231-derived, correcting the author spreadsheet series MDA-MB-231 through MDA-MB-240. Parental cell metadata: https://www.cellosaurus.org/CVCL_0062 . Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD079448 . The linked 2025 preprint predates these 2026 xenograft acquisitions and is not used to assign their host or clone metadata.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	CDK4WT
PXD079448_21576	Homo sapiens	breast	breast adenocarcinoma	MDAMB231	CVCL_0062	MDA-MB-231	pleural effusion	51Y	female	adult	not available	xenograft	5	CDK4WT	not pooled	PXD079448_260522_Parashar_21576_130min_2ul	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	4.5 ppm	20 ppm	1	1	260522_Parashar_21576_130min_2ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD079448/260522_Parashar_21576_130min_2ul.raw	WT-Veh CKG-29357	Mus musculus; implantation site: mammary fat pad; host age, sex, strain and individual IDs not available	Tumor tissue from a human MDA-MB-231-derived xenograft implanted in the mouse mammary fat pad. Cell line, breast origin, pleural-effusion sampling site, disease, age 51Y and female sex describe the original parental human cell-line donor, not the mouse host or the present tumor collection. Host age, sex, strain and correspondence between tumors and individual mice are not provided. The parental Cellosaurus accession does not identify a separately registered CDK4-engineered subclone. Author sample names and CDK4WT/CDK4KO conditions are retained.	MaxQuant_txt.zip: mqpar.xml, summary.txt and parameters.txt; MaxQuant 2.6.7.0, Trypsin/P, fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation; main-search precursor 4.5 ppm and FTMS fragment 20 ppm. The archived search uses SwissProt_Homo_sapiens_20260507.fasta plus contaminants; other human/mouse searches mentioned in the protocol are not represented by this mqpar.xml. The cleavage fields report trypsin and Lys-C from the preparation protocol; the search-enzyme field separately records the deposited Trypsin/P specificity.	Agent-assisted curation using Codex and sdrf-skills. Samples and RAW mapping: deposited Sample_list.xlsx, original SDRF, MaxQuant mqpar.xml and summary.txt; instrument and DDA method: all 10 RAW headers. The current archive explicitly identifies both conditions as MDA-MB-231-derived, correcting the author spreadsheet series MDA-MB-231 through MDA-MB-240. Parental cell metadata: https://www.cellosaurus.org/CVCL_0062 . Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD079448 . The linked 2025 preprint predates these 2026 xenograft acquisitions and is not used to assign their host or clone metadata.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	CDK4WT
PXD079448_21577	Homo sapiens	breast	breast adenocarcinoma	MDAMB231	CVCL_0062	MDA-MB-231	pleural effusion	51Y	female	adult	not available	xenograft	6	CDK4KO	not pooled	PXD079448_260522_Parashar_21577_130min_2ul	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	4.5 ppm	20 ppm	1	1	260522_Parashar_21577_130min_2ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD079448/260522_Parashar_21577_130min_2ul.raw	KO-Veh CKG-29279	Mus musculus; implantation site: mammary fat pad; host age, sex, strain and individual IDs not available	Tumor tissue from a human MDA-MB-231-derived xenograft implanted in the mouse mammary fat pad. Cell line, breast origin, pleural-effusion sampling site, disease, age 51Y and female sex describe the original parental human cell-line donor, not the mouse host or the present tumor collection. Host age, sex, strain and correspondence between tumors and individual mice are not provided. The parental Cellosaurus accession does not identify a separately registered CDK4-engineered subclone. Author sample names and CDK4WT/CDK4KO conditions are retained.	MaxQuant_txt.zip: mqpar.xml, summary.txt and parameters.txt; MaxQuant 2.6.7.0, Trypsin/P, fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation; main-search precursor 4.5 ppm and FTMS fragment 20 ppm. The archived search uses SwissProt_Homo_sapiens_20260507.fasta plus contaminants; other human/mouse searches mentioned in the protocol are not represented by this mqpar.xml. The cleavage fields report trypsin and Lys-C from the preparation protocol; the search-enzyme field separately records the deposited Trypsin/P specificity.	Agent-assisted curation using Codex and sdrf-skills. Samples and RAW mapping: deposited Sample_list.xlsx, original SDRF, MaxQuant mqpar.xml and summary.txt; instrument and DDA method: all 10 RAW headers. The current archive explicitly identifies both conditions as MDA-MB-231-derived, correcting the author spreadsheet series MDA-MB-231 through MDA-MB-240. Parental cell metadata: https://www.cellosaurus.org/CVCL_0062 . Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD079448 . The linked 2025 preprint predates these 2026 xenograft acquisitions and is not used to assign their host or clone metadata.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	CDK4KO
PXD079448_21578	Homo sapiens	breast	breast adenocarcinoma	MDAMB231	CVCL_0062	MDA-MB-231	pleural effusion	51Y	female	adult	not available	xenograft	7	CDK4KO	not pooled	PXD079448_260522_Parashar_21578_130min_2ul	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	4.5 ppm	20 ppm	1	1	260522_Parashar_21578_130min_2ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD079448/260522_Parashar_21578_130min_2ul.raw	KO-Veh CKG-29281	Mus musculus; implantation site: mammary fat pad; host age, sex, strain and individual IDs not available	Tumor tissue from a human MDA-MB-231-derived xenograft implanted in the mouse mammary fat pad. Cell line, breast origin, pleural-effusion sampling site, disease, age 51Y and female sex describe the original parental human cell-line donor, not the mouse host or the present tumor collection. Host age, sex, strain and correspondence between tumors and individual mice are not provided. The parental Cellosaurus accession does not identify a separately registered CDK4-engineered subclone. Author sample names and CDK4WT/CDK4KO conditions are retained.	MaxQuant_txt.zip: mqpar.xml, summary.txt and parameters.txt; MaxQuant 2.6.7.0, Trypsin/P, fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation; main-search precursor 4.5 ppm and FTMS fragment 20 ppm. The archived search uses SwissProt_Homo_sapiens_20260507.fasta plus contaminants; other human/mouse searches mentioned in the protocol are not represented by this mqpar.xml. The cleavage fields report trypsin and Lys-C from the preparation protocol; the search-enzyme field separately records the deposited Trypsin/P specificity.	Agent-assisted curation using Codex and sdrf-skills. Samples and RAW mapping: deposited Sample_list.xlsx, original SDRF, MaxQuant mqpar.xml and summary.txt; instrument and DDA method: all 10 RAW headers. The current archive explicitly identifies both conditions as MDA-MB-231-derived, correcting the author spreadsheet series MDA-MB-231 through MDA-MB-240. Parental cell metadata: https://www.cellosaurus.org/CVCL_0062 . Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD079448 . The linked 2025 preprint predates these 2026 xenograft acquisitions and is not used to assign their host or clone metadata.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	CDK4KO
PXD079448_21579	Homo sapiens	breast	breast adenocarcinoma	MDAMB231	CVCL_0062	MDA-MB-231	pleural effusion	51Y	female	adult	not available	xenograft	8	CDK4KO	not pooled	PXD079448_260522_Parashar_21579_130min_2ul	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	4.5 ppm	20 ppm	1	1	260522_Parashar_21579_130min_2ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD079448/260522_Parashar_21579_130min_2ul.raw	KO-Veh CKG-29341	Mus musculus; implantation site: mammary fat pad; host age, sex, strain and individual IDs not available	Tumor tissue from a human MDA-MB-231-derived xenograft implanted in the mouse mammary fat pad. Cell line, breast origin, pleural-effusion sampling site, disease, age 51Y and female sex describe the original parental human cell-line donor, not the mouse host or the present tumor collection. Host age, sex, strain and correspondence between tumors and individual mice are not provided. The parental Cellosaurus accession does not identify a separately registered CDK4-engineered subclone. Author sample names and CDK4WT/CDK4KO conditions are retained.	MaxQuant_txt.zip: mqpar.xml, summary.txt and parameters.txt; MaxQuant 2.6.7.0, Trypsin/P, fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation; main-search precursor 4.5 ppm and FTMS fragment 20 ppm. The archived search uses SwissProt_Homo_sapiens_20260507.fasta plus contaminants; other human/mouse searches mentioned in the protocol are not represented by this mqpar.xml. The cleavage fields report trypsin and Lys-C from the preparation protocol; the search-enzyme field separately records the deposited Trypsin/P specificity.	Agent-assisted curation using Codex and sdrf-skills. Samples and RAW mapping: deposited Sample_list.xlsx, original SDRF, MaxQuant mqpar.xml and summary.txt; instrument and DDA method: all 10 RAW headers. The current archive explicitly identifies both conditions as MDA-MB-231-derived, correcting the author spreadsheet series MDA-MB-231 through MDA-MB-240. Parental cell metadata: https://www.cellosaurus.org/CVCL_0062 . Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD079448 . The linked 2025 preprint predates these 2026 xenograft acquisitions and is not used to assign their host or clone metadata.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	CDK4KO
PXD079448_21580	Homo sapiens	breast	breast adenocarcinoma	MDAMB231	CVCL_0062	MDA-MB-231	pleural effusion	51Y	female	adult	not available	xenograft	9	CDK4KO	not pooled	PXD079448_260522_Parashar_21580_130min_2ul	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	4.5 ppm	20 ppm	1	1	260522_Parashar_21580_130min_2ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD079448/260522_Parashar_21580_130min_2ul.raw	KO-Veh CKG-29342	Mus musculus; implantation site: mammary fat pad; host age, sex, strain and individual IDs not available	Tumor tissue from a human MDA-MB-231-derived xenograft implanted in the mouse mammary fat pad. Cell line, breast origin, pleural-effusion sampling site, disease, age 51Y and female sex describe the original parental human cell-line donor, not the mouse host or the present tumor collection. Host age, sex, strain and correspondence between tumors and individual mice are not provided. The parental Cellosaurus accession does not identify a separately registered CDK4-engineered subclone. Author sample names and CDK4WT/CDK4KO conditions are retained.	MaxQuant_txt.zip: mqpar.xml, summary.txt and parameters.txt; MaxQuant 2.6.7.0, Trypsin/P, fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation; main-search precursor 4.5 ppm and FTMS fragment 20 ppm. The archived search uses SwissProt_Homo_sapiens_20260507.fasta plus contaminants; other human/mouse searches mentioned in the protocol are not represented by this mqpar.xml. The cleavage fields report trypsin and Lys-C from the preparation protocol; the search-enzyme field separately records the deposited Trypsin/P specificity.	Agent-assisted curation using Codex and sdrf-skills. Samples and RAW mapping: deposited Sample_list.xlsx, original SDRF, MaxQuant mqpar.xml and summary.txt; instrument and DDA method: all 10 RAW headers. The current archive explicitly identifies both conditions as MDA-MB-231-derived, correcting the author spreadsheet series MDA-MB-231 through MDA-MB-240. Parental cell metadata: https://www.cellosaurus.org/CVCL_0062 . Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD079448 . The linked 2025 preprint predates these 2026 xenograft acquisitions and is not used to assign their host or clone metadata.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	CDK4KO
PXD079448_21581	Homo sapiens	breast	breast adenocarcinoma	MDAMB231	CVCL_0062	MDA-MB-231	pleural effusion	51Y	female	adult	not available	xenograft	10	CDK4KO	not pooled	PXD079448_260522_Parashar_21581_130min_2ul	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	4.5 ppm	20 ppm	1	1	260522_Parashar_21581_130min_2ul.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD079448/260522_Parashar_21581_130min_2ul.raw	KO-Veh CKG-29343	Mus musculus; implantation site: mammary fat pad; host age, sex, strain and individual IDs not available	Tumor tissue from a human MDA-MB-231-derived xenograft implanted in the mouse mammary fat pad. Cell line, breast origin, pleural-effusion sampling site, disease, age 51Y and female sex describe the original parental human cell-line donor, not the mouse host or the present tumor collection. Host age, sex, strain and correspondence between tumors and individual mice are not provided. The parental Cellosaurus accession does not identify a separately registered CDK4-engineered subclone. Author sample names and CDK4WT/CDK4KO conditions are retained.	MaxQuant_txt.zip: mqpar.xml, summary.txt and parameters.txt; MaxQuant 2.6.7.0, Trypsin/P, fixed C-carbamidomethylation, variable M-oxidation and protein N-terminal acetylation; main-search precursor 4.5 ppm and FTMS fragment 20 ppm. The archived search uses SwissProt_Homo_sapiens_20260507.fasta plus contaminants; other human/mouse searches mentioned in the protocol are not represented by this mqpar.xml. The cleavage fields report trypsin and Lys-C from the preparation protocol; the search-enzyme field separately records the deposited Trypsin/P specificity.	Agent-assisted curation using Codex and sdrf-skills. Samples and RAW mapping: deposited Sample_list.xlsx, original SDRF, MaxQuant mqpar.xml and summary.txt; instrument and DDA method: all 10 RAW headers. The current archive explicitly identifies both conditions as MDA-MB-231-derived, correcting the author spreadsheet series MDA-MB-231 through MDA-MB-240. Parental cell metadata: https://www.cellosaurus.org/CVCL_0062 . Archive: https://www.ebi.ac.uk/pride/archive/projects/PXD079448 . The linked 2025 preprint predates these 2026 xenograft acquisitions and is not used to assign their host or clone metadata.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	CDK4KO
